Shake Shack Price to Free Cash Flow Ratio Historical Data,Shake Shack Price to Free Cash Flow Ratio Historical Data,Shake Shack Price to Free Cash Flow Ratio Historical Data,Shake Shack Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,108.4,,267.06
2024-06-30,90.0,$0.41,221.73
2024-03-31,104.03,$-0.01,0.0
2023-12-31,74.12,$-0.32,0.0
2023-09-30,58.07,$-1.16,0.0
2023-06-30,77.72,$-1.45,0.0
2023-03-31,55.49,$-1.54,0.0
2022-12-31,41.53,$-1.68,0.0
2022-09-30,44.98,$-1.49,0.0
2022-06-30,39.48,$-1.44,0.0
2022-03-31,67.9,$-1.30,0.0
2021-12-31,72.16,$-1.10,0.0
2021-09-30,78.46,$-1.01,0.0
2021-06-30,107.02,$-0.50,0.0
2021-03-31,112.77,$-0.82,0.0
2020-12-31,84.78,$-0.85,0.0
2020-09-30,64.48,$-0.76,0.0
2020-06-30,52.98,$-0.39,0.0
2020-03-31,37.74,$-0.60,0.0
2019-12-31,59.57,$-0.52,0.0
2019-09-30,98.04,$-0.40,0.0
2019-06-30,72.2,$-0.88,0.0
2019-03-31,59.15,$-0.38,0.0
2018-12-31,45.42,$-0.07,0.0
2018-09-30,63.01,$-0.03,0.0
2018-06-30,66.18,$0.19,356.57
2018-03-31,41.63,$0.55,76.39
2017-12-31,43.2,$0.36,119.63
2017-09-30,33.23,$0.43,78.06
2017-06-30,34.88,$0.42,83.52
2017-03-31,33.4,$0.13,252.65
2016-12-31,35.79,$-0.01,0.0
2016-09-30,34.67,$0.34,100.78
2016-06-30,36.43,$0.53,68.94
2016-03-31,37.32,$0.68,54.55
2015-12-31,39.6,$0.67,58.87
