Guidewire Software Price to Free Cash Flow Ratio Historical Data,Guidewire Software Price to Free Cash Flow Ratio Historical Data,Guidewire Software Price to Free Cash Flow Ratio Historical Data,Guidewire Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,189.14,,87.83
2024-07-31,150.07,$2.15,69.68
2024-04-30,110.4,$1.90,58.22
2024-01-31,111.68,$1.25,89.38
2023-10-31,90.13,$0.42,216.45
2023-07-31,84.82,$0.26,332.37
2023-04-30,76.19,$-0.85,0.0
2023-01-31,73.24,$-0.39,0.0
2022-10-31,59.41,$-0.44,0.0
2022-07-31,77.72,$-0.71,0.0
2022-04-30,86.94,$-0.47,0.0
2022-01-31,100.84,$-0.25,0.0
2021-10-31,125.73,$-0.38,0.0
2021-07-31,115.2,$2.24,51.39
2021-04-30,105.51,$1.00,105.45
2020-10-31,96.11,$1.17,82.37
2020-07-31,117.66,$1.05,111.54
2020-04-30,90.84,$0.77,118.08
2020-01-31,112.5,$0.89,127.1
2019-10-31,112.74,$0.77,146.49
2019-07-31,102.08,$1.19,86.04
2021-01-31,114.74,$-0.15,0.0
2019-04-30,106.5,$1.05,101.11
2019-01-31,86.68,$1.20,72.26
2018-10-31,88.97,$1.73,51.49
2018-07-31,86.2,$1.65,52.15
2018-04-30,84.62,$1.49,56.83
2018-01-31,79.45,$1.54,51.73
2017-10-31,79.98,$1.52,52.77
2017-07-31,72.16,$1.75,41.15
2017-04-30,61.49,$1.28,48.19
2017-01-31,52.33,$1.30,40.14
2016-10-31,57.45,$1.24,46.21
2016-07-31,61.47,$1.26,48.87
2016-04-30,56.97,$1.06,53.87
2016-01-31,55.04,$1.10,49.89
2015-10-31,58.23,$0.70,83.63
2015-07-31,59.05,$0.79,74.43
2015-04-30,49.95,$1.06,47.31
2015-01-31,50.1,$0.98,51.05
2014-10-31,49.94,$1.19,41.93
2014-07-31,40.5,$1.02,39.71
2014-04-30,37.76,$0.69,54.87
2014-01-31,47.21,$0.47,100.96
2013-10-31,50.72,$0.45,111.67
2013-07-31,43.76,$0.38,115.55
2013-04-30,40.08,$0.36,110.72
2013-01-31,33.12,$0.75,44.25
2012-10-31,30.64,$-0.07,0.0
