ARS Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,ARS Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,ARS Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,ARS Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.13,,0.0
2024-06-30,8.51,$-0.46,0.0
2024-03-31,10.22,$-0.56,0.0
2023-12-31,5.48,$-0.62,0.0
2023-09-30,3.78,$-0.81,0.0
2023-06-30,6.7,$-0.86,0.0
2023-03-31,6.51,$-0.91,0.0
2022-12-31,8.53,$-1.01,0.0
2022-09-30,5.28,$0.07,72.33
2022-06-30,4.24,$-0.29,0.0
2022-03-31,3.51,$-0.49,0.0
2021-12-31,6.66,$-0.61,0.0
2021-09-30,9.98,$-4.68,0.0
