Sinclair Price to Free Cash Flow Ratio Historical Data,Sinclair Price to Free Cash Flow Ratio Historical Data,Sinclair Price to Free Cash Flow Ratio Historical Data,Sinclair Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.58,,0.0
2024-06-30,13.33,$-5.95,0.0
2023-12-31,13.03,$2.21,5.89
2023-09-30,11.22,$5.61,2.0
2023-06-30,13.82,$9.26,1.49
2023-03-31,16.89,$9.82,1.72
2022-12-31,15.02,$9.95,1.51
2022-09-30,17.29,$6.50,2.66
2022-06-30,19.28,$6.30,3.06
2022-03-31,26.21,$-13.26,0.0
2021-12-31,24.51,$-6.09,0.0
2021-09-30,29.12,$-0.30,0.0
2021-06-30,30.34,$0.59,51.56
2020-12-31,28.76,$17.85,1.61
2020-09-30,17.24,$20.86,0.83
2020-06-30,16.39,$11.40,1.44
2020-03-31,14.13,$10.10,1.4
2019-12-31,29.02,$11.81,2.46
2021-03-31,26.56,$1.66,16.0
2019-09-30,37.0,$6.80,5.44
2019-06-30,46.21,$5.11,9.05
2019-03-31,33.04,$5.33,6.19
2018-12-31,22.49,$5.35,4.21
2018-09-30,24.21,$4.20,5.76
2018-06-30,27.28,$4.44,6.14
2018-03-31,26.39,$3.55,7.44
2017-12-31,31.74,$5.39,5.89
2017-09-30,26.73,$6.95,3.84
2017-06-30,27.28,$6.91,3.95
2017-03-31,33.4,$7.13,4.68
2016-12-31,27.38,$5.66,4.84
2016-09-30,23.58,$3.49,6.75
2016-06-30,24.23,$3.78,6.41
2016-03-31,24.81,$3.69,6.72
2015-12-31,26.12,$3.50,7.46
2015-09-30,20.23,$5.10,3.97
2015-06-30,22.16,$5.21,4.25
2015-03-31,24.81,$5.09,4.88
2014-12-31,21.48,$5.40,3.98
2014-09-30,20.37,$-7.37,0.0
2014-06-30,26.98,$-7.76,0.0
2014-03-31,20.93,$-8.21,0.0
2013-12-31,27.46,$-8.94,0.0
2013-09-30,25.64,$-11.72,0.0
2013-06-30,22.33,$-11.96,0.0
2013-03-31,15.34,$-11.82,0.0
2012-12-31,9.44,$-11.58,0.0
2012-09-30,7.58,$1.74,4.35
2012-06-30,6.05,$1.53,3.95
2012-03-31,7.28,$1.50,4.84
2011-12-31,7.38,$1.36,5.42
2011-09-30,4.61,$3.36,1.37
2011-06-30,6.96,$2.30,3.02
2011-03-31,7.84,$2.89,2.71
2010-12-31,5.07,$2.49,2.03
2024-03-31,13.47,$0.82,16.5
2010-09-30,4.13,$1.54,2.68
2010-06-30,3.43,$1.27,2.7
2010-03-31,2.99,$1.39,2.15
2009-12-31,2.37,$1.22,1.94
