Triumph Financial Price to Free Cash Flow Ratio Historical Data,Triumph Financial Price to Free Cash Flow Ratio Historical Data,Triumph Financial Price to Free Cash Flow Ratio Historical Data,Triumph Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,87.11,,0.0
2024-09-30,79.54,$-0.48,0.0
2024-06-30,81.75,$-1.05,0.0
2024-03-31,79.32,$-1.48,0.0
2023-12-31,80.18,$0.82,97.98
2023-09-30,64.79,$0.26,253.09
2023-06-30,60.72,$1.82,33.31
2023-03-31,58.06,$0.04,1395.67
2022-12-31,48.87,$2.56,19.1
2022-09-30,54.35,$3.94,13.78
2022-06-30,62.56,$3.33,18.8
2022-03-31,94.02,$6.14,15.3
2021-12-31,119.08,$4.90,24.28
2021-09-30,100.13,$4.65,21.53
2021-06-30,74.25,$5.00,14.85
2021-03-31,77.39,$3.58,21.63
2020-12-31,48.55,$3.33,14.6
2020-09-30,31.14,$2.01,15.52
2020-06-30,24.27,$1.20,20.22
2020-03-31,26.0,$1.84,14.1
2019-12-31,38.02,$2.07,18.39
2019-09-30,31.89,$2.76,11.54
2019-06-30,29.05,$2.53,11.48
2019-03-31,29.39,$2.75,10.67
2018-12-31,29.7,$2.49,11.91
2018-09-30,38.2,$2.26,16.93
2018-06-30,40.75,$2.18,18.66
2018-03-31,41.2,$2.40,17.15
2017-12-31,31.5,$2.23,14.16
2017-09-30,32.25,$2.15,14.97
2017-06-30,24.55,$2.08,11.81
2017-03-31,25.8,$1.54,16.78
2016-12-31,26.15,$1.66,15.75
2016-09-30,19.84,$1.35,14.65
2016-06-30,16.0,$1.29,12.36
2016-03-31,15.83,$1.45,10.93
2015-12-31,16.5,$1.44,11.43
2015-09-30,16.8,$3.12,5.39
