Brighthouse Financial Price to Free Cash Flow Ratio Historical Data,Brighthouse Financial Price to Free Cash Flow Ratio Historical Data,Brighthouse Financial Price to Free Cash Flow Ratio Historical Data,Brighthouse Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.91,,22.82
2024-06-30,43.34,$2.14,20.22
2024-03-31,51.54,$-10.48,0.0
2023-12-31,52.92,$-4.84,0.0
2023-09-30,48.94,$-20.55,0.0
2023-03-31,44.11,$-21.49,0.0
2022-12-31,51.27,$-16.69,0.0
2022-09-30,43.42,$-5.15,0.0
2022-06-30,41.02,$7.06,5.81
2022-03-31,51.66,$8.78,5.89
2021-12-31,51.8,$11.97,4.33
2021-03-31,44.25,$7.21,6.14
2020-12-31,36.21,$9.31,3.89
2020-09-30,26.91,$18.58,1.45
2020-06-30,27.82,$21.18,1.31
2020-03-31,24.17,$30.21,0.8
2019-12-31,39.23,$33.31,1.18
2019-03-31,36.29,$26.34,1.38
2018-12-31,30.48,$25.55,1.19
2018-09-30,44.24,$29.00,1.53
2018-06-30,40.07,$29.84,1.34
2018-03-31,51.4,$13.83,3.72
2017-12-31,58.64,$20.62,2.84
2019-09-30,40.47,$21.27,1.9
2019-06-30,36.69,$6.20,5.92
2017-09-30,60.8,$16.95,3.59
