Evotec AG Price to Free Cash Flow Ratio Historical Data,Evotec AG Price to Free Cash Flow Ratio Historical Data,Evotec AG Price to Free Cash Flow Ratio Historical Data,Evotec AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.08,,0.0
2024-06-30,4.8,$-1.01,0.0
2024-03-31,7.83,$-0.90,0.0
2023-09-30,9.87,$-0.89,0.0
2023-06-30,11.3,$-0.40,0.0
2022-12-31,8.09,$0.06,124.65
2022-09-30,8.79,$-0.28,0.0
2022-06-30,11.98,$0.06,184.88
2022-03-31,15.13,$-0.16,0.0
2021-12-31,23.75,$0.02,1169.95
2018-12-31,12.07,$0.51,23.48
2018-09-30,12.1,$0.44,27.71
2018-06-30,12.13,$0.23,53.83
2018-03-31,11.97,$-0.01,0.0
2017-12-31,12.4,$-0.02,0.0
2017-09-30,12.8,$0.20,63.02
2017-06-30,12.98,$0.25,51.64
2017-03-31,12.52,$0.26,48.37
2016-12-31,12.39,$0.24,51.74
2016-09-30,13.66,$-0.03,0.0
2016-06-30,14.08,$-0.06,0.0
2016-03-31,13.08,$-0.05,0.0
2015-12-31,12.23,$0.02,647.11
2015-09-30,11.46,$-0.04,0.0
2015-06-30,11.27,$0.05,222.22
2015-03-31,11.64,$-0.01,0.0
2014-12-31,11.28,$-0.06,0.0
2014-09-30,10.97,$0.08,129.32
2014-06-30,11.02,$-0.01,0.0
2014-03-31,10.31,$-0.01,0.0
2013-12-31,9.5,$0.01,832.89
2013-09-30,9.5,$0.01,0.0
2013-06-30,9.77,$0.03,305.19
2013-03-31,11.04,$0.06,178.64
2012-12-31,12.19,$0.02,580.7
2012-09-30,11.74,$-0.02,0.0
2012-06-30,10.94,$-0.03,0.0
2012-03-31,10.72,$-0.02,0.0
2011-12-31,9.72,$0.01,657.01
2011-09-30,9.04,$0.02,418.59
2011-06-30,8.67,$-0.03,0.0
2011-03-31,8.73,$0.02,417.6
2010-12-31,8.21,0,0.0
2010-09-30,9.43,$0.14,65.2
2010-06-30,8.73,$0.16,56.19
2010-03-31,8.8,$0.08,107.21
2009-12-31,8.23,$-0.00,0.0
