ODP Price to Free Cash Flow Ratio Historical Data,ODP Price to Free Cash Flow Ratio Historical Data,ODP Price to Free Cash Flow Ratio Historical Data,ODP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.14,,0.0
2024-06-30,39.27,$-0.47,0.0
2024-03-31,53.05,$2.94,18.05
2023-12-31,56.3,$5.30,10.62
2023-09-30,46.15,$9.86,4.68
2023-06-30,46.82,$5.19,9.02
2022-12-31,45.54,$2.82,16.17
2022-09-30,35.15,$2.19,16.04
2022-06-30,30.24,$2.54,11.89
2022-03-31,45.83,$8.06,5.69
2021-12-31,39.28,$7.33,5.36
2023-03-31,44.98,$6.81,6.61
2021-09-30,40.16,$3.64,11.04
2021-06-30,48.01,$6.40,7.51
2021-03-31,43.29,$6.42,6.75
2020-12-31,29.3,$8.11,3.61
2020-09-30,19.45,$11.47,1.7
2020-06-30,23.5,$9.25,2.54
2020-03-31,16.4,$7.79,2.11
2019-12-31,27.11,$5.02,5.4
2019-09-30,17.18,$1.95,8.81
2019-06-30,19.83,$3.18,6.24
2019-03-31,34.51,$5.16,6.69
2018-12-31,24.35,$7.93,3.07
2018-09-30,30.06,$7.88,3.82
2018-06-30,23.7,$7.25,3.27
2018-03-31,19.77,$7.65,2.59
2017-12-31,32.22,$5.87,5.49
2017-09-30,41.0,$5.58,7.35
2017-06-30,50.62,$4.87,10.4
2017-03-31,41.66,$9.80,4.25
2016-12-31,40.16,$6.94,5.79
2016-09-30,31.55,$8.38,3.77
2016-06-30,29.06,$8.42,3.45
2016-03-31,62.33,$0.67,93.14
2015-12-31,49.51,$1.60,30.88
2015-09-30,56.36,$1.15,48.96
2015-06-30,76.02,$1.15,66.03
2015-03-31,80.77,$1.31,61.54
2014-12-31,75.28,$0.04,2012.79
2014-09-30,45.12,$-2.11,0.0
2014-06-30,49.95,$-7.32,0.0
2014-03-31,36.26,$-6.24,0.0
2013-12-31,46.44,$-7.61,0.0
2013-09-30,42.4,$-3.87,0.0
2013-06-30,33.97,$3.62,9.38
2013-03-31,34.5,$-2.30,0.0
2012-12-31,28.79,$4.93,5.84
2012-09-30,22.47,$6.37,3.53
2012-06-30,18.96,$-0.51,0.0
2011-12-31,18.87,$2.18,8.64
2011-09-30,18.08,$3.51,5.15
2011-06-30,37.05,$-3.70,0.0
2011-03-31,40.65,$1.92,21.12
2010-12-31,47.41,$4.19,11.32
2012-03-31,30.29,$-0.13,0.0
2010-09-30,40.38,$0.82,49.52
2010-06-30,35.47,$1.52,23.39
2010-03-31,70.05,$4.95,14.15
2009-12-31,56.62,$10.08,5.61
