Sanmina Price to Free Cash Flow Ratio Historical Data,Sanmina Price to Free Cash Flow Ratio Historical Data,Sanmina Price to Free Cash Flow Ratio Historical Data,Sanmina Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,68.2,,16.2
2024-06-30,66.25,$4.21,15.74
2024-03-31,62.18,$3.10,20.07
2023-12-31,51.37,$2.33,22.05
2023-09-30,54.28,$0.76,71.82
2023-06-30,60.27,$0.58,104.4
2023-03-31,60.99,$1.61,37.83
2022-12-31,57.29,$2.41,23.75
2022-09-30,46.08,$3.18,14.5
2022-06-30,40.73,$3.64,11.18
2022-03-31,40.42,$3.81,10.61
2021-12-31,41.46,$3.98,10.42
2021-09-30,38.54,$3.97,9.71
2021-06-30,38.96,$3.97,9.82
2021-03-31,41.38,$3.53,11.72
2020-12-31,31.89,$4.19,7.61
2020-09-30,27.05,$3.34,8.11
2020-06-30,25.04,$4.65,5.39
2020-03-31,27.28,$5.75,4.75
2019-12-31,34.24,$5.10,6.72
2019-09-30,32.11,$3.57,9.0
2019-06-30,30.28,$1.89,16.03
2019-03-31,28.85,$0.48,59.92
2018-12-31,24.06,$-0.46,0.0
2018-09-30,27.6,$0.61,45.6
2018-06-30,29.3,$0.35,84.8
2018-03-31,26.15,$0.16,162.93
2017-12-31,33.0,$0.81,40.8
2017-09-30,37.15,$1.83,20.29
2017-06-30,38.1,$2.32,16.42
2017-03-31,40.6,$2.77,14.63
2016-12-31,36.65,$3.53,10.38
2016-09-30,28.47,$3.48,8.17
2016-06-30,26.81,$2.34,11.43
2016-03-31,23.38,$2.67,8.76
2015-12-31,20.58,$1.82,11.32
2015-09-30,21.37,$1.01,21.19
2015-06-30,20.16,$2.34,8.61
2015-03-31,24.19,$2.83,8.53
2014-12-31,23.53,$2.14,11.01
2014-09-30,20.86,$2.81,7.42
2014-06-30,22.78,$2.66,8.55
2014-03-31,17.45,$1.68,10.38
2013-12-31,16.7,$2.57,6.49
2013-09-30,17.49,$3.22,5.43
2013-06-30,14.35,$3.56,4.04
2013-03-31,11.37,$3.33,3.42
2012-12-31,11.07,$3.08,3.59
2012-09-30,8.51,$1.70,5.02
2012-06-30,8.19,$1.17,7.0
2012-03-31,11.45,$1.23,9.28
2011-12-31,9.31,$1.73,5.37
2011-09-30,6.68,$1.82,3.67
2011-06-30,10.33,$0.29,35.4
2011-03-31,11.21,$-0.22,0.0
2010-12-31,11.48,$-1.93,0.0
2010-09-30,12.08,$-1.56,0.0
2010-06-30,13.61,$-0.30,0.0
2010-03-31,16.5,$0.48,34.3
2009-12-31,11.03,$1.64,6.72
