Evolus Price to Free Cash Flow Ratio Historical Data,Evolus Price to Free Cash Flow Ratio Historical Data,Evolus Price to Free Cash Flow Ratio Historical Data,Evolus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.63,,0.0
2024-06-30,10.85,$-0.32,0.0
2024-03-31,14.0,$-0.45,0.0
2023-12-31,10.53,$-0.63,0.0
2023-09-30,9.14,$-0.82,0.0
2023-06-30,7.27,$-1.11,0.0
2023-03-31,8.46,$-1.25,0.0
2022-12-31,7.51,$-1.57,0.0
2022-09-30,8.05,$-1.62,0.0
2022-06-30,11.6,$-1.90,0.0
2022-03-31,11.22,$-1.17,0.0
2021-12-31,6.51,$-0.69,0.0
2021-09-30,7.62,$-1.39,0.0
2021-06-30,12.65,$-1.67,0.0
2021-03-31,12.99,$-2.54,0.0
2020-12-31,3.36,$-3.27,0.0
2020-03-31,4.15,$-3.61,0.0
2019-12-31,12.17,$-3.47,0.0
2019-09-30,15.62,$-2.27,0.0
2019-06-30,14.62,$-1.76,0.0
2019-03-31,22.57,$-1.23,0.0
2018-12-31,11.9,$-0.72,0.0
2020-09-30,3.91,$-1.62,0.0
2020-06-30,5.3,$-1.31,0.0
