Kaiser Aluminum Price to Free Cash Flow Ratio Historical Data,Kaiser Aluminum Price to Free Cash Flow Ratio Historical Data,Kaiser Aluminum Price to Free Cash Flow Ratio Historical Data,Kaiser Aluminum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,73.77,,9.98
2024-06-30,87.04,$7.39,11.78
2024-03-31,87.71,$10.12,8.66
2023-12-31,69.07,$5.20,13.28
2023-09-30,72.16,$-2.09,0.0
2023-06-30,68.02,$-11.09,0.0
2023-03-31,69.98,$-13.43,0.0
2022-12-31,70.59,$-12.23,0.0
2022-09-30,56.45,$-6.86,0.0
2022-06-30,71.99,$-0.07,0.0
2022-03-31,85.04,$1.07,79.47
2021-12-31,84.18,$1.47,57.46
2021-09-30,96.94,$2.80,34.61
2021-06-30,109.15,$4.93,22.12
2021-03-31,97.04,$6.52,14.88
2020-12-31,86.23,$9.76,8.84
2020-09-30,46.24,$10.77,4.29
2020-06-30,62.91,$12.12,5.19
2020-03-31,58.65,$12.03,4.88
2019-12-31,93.27,$10.63,8.77
2019-09-30,82.75,$8.00,10.34
2019-06-30,81.11,$4.21,19.28
2019-03-31,86.5,$4.73,18.28
2018-12-31,73.29,$4.55,16.12
2018-09-30,89.0,$3.01,29.62
2018-06-30,84.54,$4.77,17.73
2018-03-31,81.49,$4.84,16.83
2017-12-31,85.88,$3.86,22.25
2017-09-30,82.48,$6.64,12.42
2017-06-30,70.42,$5.26,13.38
2017-03-31,63.19,$4.61,13.71
2016-12-31,61.06,$4.96,12.3
2016-09-30,67.55,$4.49,15.05
2016-06-30,70.23,$5.86,11.98
2016-03-31,65.34,$5.59,11.69
2015-12-31,64.27,$5.62,11.44
2015-09-30,61.35,$3.92,15.66
2015-06-30,63.22,$2.64,23.91
2015-03-31,58.21,$2.62,22.19
2014-12-31,53.77,$3.48,15.45
2014-09-30,57.09,$3.30,17.3
2014-06-30,54.32,$3.17,17.14
2014-03-31,52.98,$2.93,18.07
2013-12-31,51.85,$2.15,24.16
2013-09-30,52.36,$3.72,14.07
2013-06-30,45.31,$3.83,11.82
2013-03-31,47.05,$4.12,11.42
2012-12-31,44.68,$5.63,7.93
2012-09-30,42.11,$5.94,7.09
2012-06-30,37.2,$3.66,10.15
2012-03-31,33.73,$2.49,13.55
2011-12-31,32.58,$1.63,19.95
2011-09-30,31.28,$-0.05,0.0
2011-06-30,38.42,$2.01,19.09
2011-03-31,34.47,$1.73,19.89
2010-12-31,34.88,$1.66,20.99
2010-09-30,29.64,$1.68,17.64
2010-06-30,23.87,$1.56,15.32
2010-03-31,26.4,$1.67,15.8
2009-12-31,28.31,$3.49,8.12
