Heico Price to Free Cash Flow Ratio Historical Data,Heico Price to Free Cash Flow Ratio Historical Data,Heico Price to Free Cash Flow Ratio Historical Data,Heico Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,206.9,,51.97
2024-07-31,190.11,$3.98,47.75
2024-04-30,165.85,$3.54,46.91
2024-01-31,141.47,$3.10,45.61
2023-10-31,127.13,$2.87,44.23
2023-07-31,140.35,$2.90,48.33
2023-04-30,134.23,$2.96,45.29
2023-01-31,133.68,$3.13,42.7
2022-10-31,127.3,$3.16,40.31
2022-07-31,127.68,$2.93,43.6
2022-04-30,116.64,$2.74,42.52
2022-01-31,109.7,$2.80,39.24
2021-10-31,125.68,$2.96,42.48
2021-07-31,121.29,$2.96,40.91
2021-04-30,126.19,$2.77,45.6
2021-01-31,106.23,$2.94,36.16
2020-10-31,93.37,$2.81,33.2
2020-07-31,76.44,$2.91,26.31
2020-04-30,72.16,$3.18,22.71
2020-01-31,95.92,$3.20,30.02
2019-10-31,94.96,$2.97,31.93
2019-07-31,105.05,$2.91,36.12
2019-04-30,89.08,$2.76,32.24
2019-01-31,69.76,$0.48,145.03
2018-10-31,66.32,$0.93,71.57
2018-07-31,64.42,$0.69,93.87
2018-04-30,57.37,$0.17,328.98
2017-10-31,48.37,$1.93,25.0
2017-07-31,45.16,$2.56,17.61
2017-04-30,38.91,$2.34,16.62
2017-01-31,33.67,$2.55,13.21
2016-10-31,30.43,$2.54,11.98
2018-01-31,52.36,$1.44,36.25
2016-07-31,29.25,$1.48,19.81
2016-04-30,25.92,$1.41,18.44
2016-01-31,23.5,$1.27,18.44
2015-10-31,22.08,$1.17,18.92
2015-07-31,22.93,$1.26,18.18
2015-04-30,23.16,$1.38,16.78
2015-01-31,23.82,$1.29,18.48
2014-10-31,23.06,$1.32,17.43
2014-07-31,20.32,$1.14,17.86
2014-04-30,20.51,$0.96,21.41
2014-01-31,19.61,$1.02,19.14
2013-10-31,19.45,$0.87,22.42
2013-07-31,16.06,$1.04,15.4
2013-04-30,13.48,$0.93,14.47
2013-01-31,13.56,$1.06,12.77
2012-10-31,11.02,$0.95,11.63
2012-07-31,10.66,$0.79,13.47
2012-04-30,11.63,$0.82,14.24
2012-01-31,11.13,$0.68,16.39
2011-10-31,11.33,$0.89,12.66
2011-07-31,10.66,$0.86,12.45
2011-04-30,10.23,$0.81,12.67
2011-01-31,8.79,$0.75,11.73
2010-10-31,8.54,$0.72,11.85
2010-07-31,6.64,$0.70,9.44
2010-04-30,7.69,$0.62,12.39
2010-01-31,6.19,$0.63,9.83
2009-10-31,5.65,$0.51,11.11
