Toll Brothers Price to Free Cash Flow Ratio Historical Data,Toll Brothers Price to Free Cash Flow Ratio Historical Data,Toll Brothers Price to Free Cash Flow Ratio Historical Data,Toll Brothers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,156.67,,19.73
2024-07-31,142.49,$7.94,17.95
2024-04-30,118.68,$11.12,10.68
2024-01-31,98.8,$11.25,8.78
2023-10-31,70.18,$10.99,6.39
2023-07-31,79.49,$16.03,4.96
2023-04-30,63.07,$11.08,5.69
2023-01-31,58.5,$7.15,8.18
2022-10-31,42.2,$8.00,5.28
2022-07-31,47.97,$4.26,11.27
2022-04-30,45.04,$7.79,5.78
2022-01-31,57.02,$7.09,8.04
2021-10-31,58.04,$10.47,5.55
2021-07-31,57.0,$10.17,5.61
2021-04-30,60.12,$9.34,6.44
2021-01-31,48.85,$10.72,4.56
2020-10-31,40.32,$6.97,5.79
2020-07-31,36.35,$3.62,10.04
2020-04-30,22.78,$1.84,12.41
2020-01-31,41.87,$1.39,30.19
2019-10-31,37.43,$2.94,12.74
2019-07-31,33.76,$4.22,8.0
2019-04-30,35.65,$5.12,6.96
2019-01-31,34.47,$4.46,7.73
2018-10-31,31.31,$3.63,8.62
2018-07-31,32.69,$2.04,16.01
2018-04-30,38.97,$1.42,27.46
2018-01-31,42.94,$2.72,15.77
2017-10-31,42.38,$4.91,8.62
2017-07-31,35.45,$4.95,7.16
2017-04-30,33.0,$2.18,15.16
2017-01-31,28.69,$0.94,30.63
2016-10-31,25.1,$0.70,36.07
2016-07-31,25.62,$-1.10,0.0
2016-04-30,24.98,$0.38,65.67
2016-01-31,25.27,$0.33,75.7
2015-10-31,32.91,$0.27,119.79
2015-07-31,35.61,$0.81,44.08
2015-04-30,32.51,$1.75,18.55
2015-01-31,31.67,$2.78,11.4
2014-10-31,29.23,$1.60,18.22
2014-07-31,29.91,$-0.49,0.0
2014-04-30,31.32,$-1.12,0.0
2014-01-31,33.62,$-2.91,0.0
2013-10-31,30.08,$-3.35,0.0
2013-07-31,30.07,$-2.36,0.0
2013-04-30,31.39,$-2.04,0.0
2013-01-31,34.26,$-1.89,0.0
2012-10-31,30.2,$-1.08,0.0
2012-07-31,26.69,$-1.39,0.0
2012-04-30,23.24,$-1.94,0.0
2012-01-31,19.95,$-0.25,0.0
2011-10-31,15.95,$0.26,62.06
2011-07-31,18.26,$-0.30,0.0
2011-04-30,19.22,$1.00,19.22
2011-01-31,18.52,$-0.96,0.0
2010-10-31,16.41,$-0.91,0.0
2010-07-31,15.88,$1.02,15.62
2010-04-30,20.65,$0.20,104.81
2010-01-31,16.9,$1.68,10.08
2009-10-31,15.85,$1.74,9.13
