Astrana Health Price to Free Cash Flow Ratio Historical Data,Astrana Health Price to Free Cash Flow Ratio Historical Data,Astrana Health Price to Free Cash Flow Ratio Historical Data,Astrana Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,61.37,,58.93
2024-06-30,40.56,$1.04,38.95
2024-03-31,41.99,$1.12,37.65
2023-12-31,38.3,$0.85,45.29
2023-09-30,30.85,$2.42,12.74
2023-06-30,31.6,$1.33,23.68
2023-03-31,36.47,$1.00,36.34
2022-12-31,29.59,$1.30,22.8
2022-09-30,39.0,$-0.84,0.0
2022-06-30,38.59,$0.91,42.29
2022-03-31,48.47,$1.04,46.52
2021-12-31,73.48,$1.13,65.27
2021-09-30,91.05,$1.35,67.55
2021-06-30,62.81,$1.40,44.87
2021-03-31,27.09,$1.68,16.08
2020-12-31,18.27,$1.20,15.19
2020-09-30,17.94,$1.39,12.95
2020-06-30,16.5,$1.26,13.07
2020-03-31,12.92,$0.20,65.09
2019-12-31,18.41,$0.35,53.05
2019-09-30,17.62,$0.08,221.36
2019-06-30,16.71,$-0.28,0.0
2019-03-31,18.32,$0.42,43.3
2018-12-31,19.85,$0.64,30.94
2018-09-30,22.07,$2.55,8.67
