RadNet Price to Free Cash Flow Ratio Historical Data,RadNet Price to Free Cash Flow Ratio Historical Data,RadNet Price to Free Cash Flow Ratio Historical Data,RadNet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,68.36,,68.88
2024-06-30,58.92,$0.99,59.37
2024-03-31,48.66,$0.51,95.83
2023-12-31,34.77,$0.69,50.69
2023-09-30,28.19,$0.52,54.0
2023-06-30,32.62,$0.68,48.26
2023-03-31,25.03,$0.77,32.7
2022-12-31,18.83,$0.54,34.97
2022-09-30,20.35,$-0.05,0.0
2022-06-30,17.28,$0.08,220.13
2022-03-31,22.37,$-0.36,0.0
2021-12-31,30.11,$0.23,131.37
2021-09-30,29.31,$1.18,24.78
2021-06-30,33.69,$1.52,22.2
2021-03-31,21.75,$2.91,7.47
2020-12-31,19.57,$2.76,7.09
2020-09-30,15.35,$2.13,7.21
2020-06-30,15.87,$2.06,7.69
2020-03-31,10.51,$0.53,19.67
2019-12-31,20.3,$0.62,32.56
2019-09-30,14.36,$0.70,20.5
2019-06-30,13.79,$0.79,17.45
2019-03-31,12.39,$0.82,15.2
2018-12-31,10.17,$0.97,10.44
2018-09-30,15.05,$1.82,8.28
2018-06-30,15.0,$1.66,9.04
2018-03-31,14.4,$1.77,8.12
2017-12-31,10.1,$1.73,5.82
2017-09-30,11.55,$1.14,10.1
2017-06-30,7.75,$0.63,12.26
2017-03-31,5.9,$0.76,7.8
2016-12-31,6.45,$0.71,9.07
2016-09-30,7.4,$0.58,12.65
2016-06-30,5.34,$0.89,5.98
2016-03-31,4.83,$0.59,8.21
2015-12-31,6.18,$0.57,10.82
2015-09-30,5.55,$0.50,11.21
2015-06-30,6.69,$0.55,12.08
2015-03-31,8.4,$0.97,8.67
2014-12-31,8.54,$0.47,18.1
2014-09-30,6.62,$0.49,13.59
2014-06-30,6.63,$0.37,17.75
2014-03-31,2.84,$-0.05,0.0
2013-12-31,1.67,$0.56,2.97
2013-09-30,2.41,$0.39,6.19
2013-06-30,2.65,$0.44,5.96
2013-03-31,2.8,$0.84,3.34
2012-12-31,2.53,$0.88,2.86
2012-09-30,2.78,$0.98,2.84
2012-06-30,2.66,$0.90,2.96
2012-03-31,3.18,$0.51,6.25
2011-12-31,2.13,$0.39,5.42
2011-09-30,2.44,$0.28,8.73
2011-06-30,4.4,$0.65,6.76
2011-03-31,3.5,$0.63,5.53
2010-12-31,2.82,$0.74,3.81
2010-09-30,2.4,$1.00,2.4
2010-06-30,2.37,$0.86,2.75
2010-03-31,3.18,$1.13,2.83
2009-12-31,2.04,$1.30,1.57
