AMN Healthcare Services Inc Price to Free Cash Flow Ratio Historical Data,AMN Healthcare Services Inc Price to Free Cash Flow Ratio Historical Data,AMN Healthcare Services Inc Price to Free Cash Flow Ratio Historical Data,AMN Healthcare Services Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.42,,7.92
2024-06-30,51.23,$5.36,9.56
2024-03-31,62.51,$7.86,7.96
2023-12-31,74.88,$6.82,10.97
2023-09-30,85.18,$10.67,7.98
2023-06-30,109.12,$9.09,12.01
2023-03-31,82.96,$9.55,8.69
2022-12-31,102.82,$12.88,7.98
2022-09-30,105.96,$12.38,8.56
2022-06-30,109.71,$10.14,10.82
2022-03-31,104.33,$8.62,12.1
2021-12-31,122.33,$5.24,23.34
2021-09-30,114.75,$4.54,25.27
2021-06-30,96.98,$6.22,15.6
2021-03-31,73.7,$4.38,16.84
2020-12-31,68.25,$4.59,14.85
2020-09-30,58.46,$5.41,10.8
2020-06-30,45.24,$5.22,8.67
2020-03-31,57.81,$4.17,13.85
2019-12-31,62.31,$3.98,15.64
2019-09-30,57.56,$3.52,16.35
2019-06-30,54.25,$2.75,19.71
2019-03-31,47.09,$1.83,25.68
2018-12-31,56.66,$2.22,25.49
2018-09-30,54.7,$1.79,30.53
2018-06-30,58.6,$1.45,40.53
2017-12-31,49.25,$2.71,18.17
2017-09-30,45.7,$2.63,17.37
2017-06-30,39.05,$2.59,15.07
2017-03-31,40.6,$2.48,16.36
2016-12-31,38.45,$2.27,16.92
2016-09-30,31.87,$1.25,25.42
2016-06-30,39.97,$1.07,37.41
2016-03-31,33.61,$1.00,33.45
2015-12-31,31.05,$0.43,72.31
2015-09-30,30.01,$0.76,39.28
2015-06-30,31.59,$0.49,63.9
2014-12-31,19.6,$0.18,110.3
2014-09-30,15.7,$1.19,13.17
2014-06-30,12.3,$1.01,12.17
2014-03-31,13.74,$1.51,9.1
2013-12-31,14.7,$1.96,7.52
2015-03-31,23.07,$0.84,27.44
2013-09-30,13.76,$1.11,12.41
2013-06-30,14.32,$1.20,11.97
2013-03-31,15.83,$1.04,15.23
2012-12-31,11.55,$1.25,9.24
2012-09-30,10.06,$1.02,9.89
2012-03-31,6.06,$0.42,14.44
2011-12-31,4.43,$0.32,13.88
2011-09-30,4.01,$0.29,13.87
2011-06-30,8.32,$-0.27,0.0
2011-03-31,8.66,$-0.13,0.0
2010-12-31,6.14,$0.11,54.58
2010-09-30,5.14,$2.24,2.29
2010-06-30,7.48,$0.66,11.34
2010-03-31,8.8,$1.07,8.24
2009-12-31,9.06,$1.80,5.04
2012-06-30,5.93,$0.69,8.54
2009-09-30,9.51,$3.86,2.47
