MakeMyTrip Price to Free Cash Flow Ratio Historical Data,MakeMyTrip Price to Free Cash Flow Ratio Historical Data,MakeMyTrip Price to Free Cash Flow Ratio Historical Data,MakeMyTrip Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,102.55,,77.39
2024-06-30,84.1,$1.33,63.47
2024-03-31,71.05,$1.02,69.88
2023-12-31,46.98,$1.46,32.18
2023-09-30,40.52,$0.75,54.21
2023-06-30,26.98,$0.63,42.52
2023-03-31,24.47,$0.23,106.76
2022-12-31,27.57,$-0.15,0.0
2022-09-30,30.7,$-0.03,0.0
2022-06-30,25.68,$0.25,103.55
2022-03-31,26.83,$0.03,909.49
2021-12-31,27.71,$0.08,357.09
2021-09-30,27.19,$0.32,85.05
2021-06-30,30.05,$0.24,127.01
2021-03-31,31.58,$0.60,52.45
2020-12-31,29.53,$0.09,317.87
2020-09-30,15.36,$-0.44,0.0
2020-06-30,15.32,$-0.80,0.0
2020-03-31,11.96,$-1.10,0.0
2019-12-31,22.9,$-0.51,0.0
2019-09-30,22.69,$-0.53,0.0
2019-06-30,24.8,$-0.68,0.0
2019-03-31,27.6,$-0.79,0.0
2018-12-31,24.33,$-1.16,0.0
2018-09-30,27.45,$-1.13,0.0
2018-06-30,36.15,$-1.36,0.0
2018-03-31,34.7,$-1.29,0.0
2017-12-31,29.85,$-2.37,0.0
2017-09-30,28.75,$-2.13,0.0
2017-06-30,33.55,$-2.16,0.0
2017-03-31,34.6,$-2.23,0.0
2016-12-31,22.2,$-2.11,0.0
2016-09-30,23.6,$-2.56,0.0
2016-06-30,14.86,$-2.05,0.0
2016-03-31,18.09,$-1.72,0.0
2015-12-31,17.16,$0.41,41.96
2015-09-30,13.75,$0.60,22.96
2015-06-30,19.68,$0.56,35.0
2015-03-31,21.96,$0.67,32.84
2014-12-31,25.99,$-0.13,0.0
2014-09-30,27.83,$0.26,106.02
2014-06-30,35.13,$0.13,262.95
2014-03-31,27.08,$-0.15,0.0
2013-12-31,19.26,$0.03,594.44
2013-09-30,14.84,$-0.26,0.0
2013-06-30,14.27,$-0.21,0.0
2013-03-31,13.9,$0.36,38.36
2012-12-31,12.44,$0.22,55.71
2012-09-30,17.03,$0.91,18.75
2012-06-30,16.43,$0.45,36.25
2012-03-31,22.97,$0.14,164.78
2011-12-31,24.04,$-0.13,0.0
2011-09-30,22.08,$-0.46,0.0
2011-06-30,24.5,$-0.13,0.0
