CSX Price to Free Cash Flow Ratio Historical Data,CSX Price to Free Cash Flow Ratio Historical Data,CSX Price to Free Cash Flow Ratio Historical Data,CSX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,34.27,,23.08
2024-06-30,33.33,$1.49,22.45
2024-03-31,36.81,$1.54,23.93
2023-12-31,34.32,$1.65,20.81
2023-09-30,30.33,$1.64,18.48
2023-06-30,33.52,$1.69,19.84
2023-03-31,29.32,$1.69,17.31
2022-12-31,30.23,$1.74,17.35
2022-09-30,25.92,$1.76,14.73
2022-06-30,28.18,$1.69,16.71
2022-03-31,36.21,$0.98,37.01
2021-12-31,36.25,$0.85,42.89
2021-09-30,28.59,$0.67,42.61
2021-06-30,30.76,$0.46,66.27
2020-12-31,28.83,$1.17,24.68
2020-09-30,24.61,$1.89,13.02
2020-06-30,22.02,$2.06,10.69
2020-03-31,18.03,$2.28,7.9
2019-12-31,22.68,$2.25,10.09
2021-03-31,30.73,$1.57,19.59
2019-09-30,21.64,$1.46,14.8
2019-06-30,24.09,$1.41,17.03
2019-03-31,23.22,$1.35,17.14
2018-12-31,19.22,$1.24,15.44
2018-09-30,22.9,$0.97,23.5
2018-06-30,19.67,$0.84,23.39
2018-03-31,17.12,$0.58,29.48
2017-12-31,16.84,$0.56,30.2
2017-09-30,16.55,$0.51,32.71
2017-06-30,16.57,$0.34,49.22
2017-03-31,14.09,$0.40,35.09
2016-12-31,10.83,$0.29,36.76
2016-09-30,9.15,$0.42,21.75
2016-06-30,7.77,$0.39,19.79
2016-03-31,7.62,$0.41,18.75
2015-12-31,7.63,$0.32,23.57
2015-09-30,7.86,$0.27,29.02
2015-06-30,9.47,$0.26,36.7
2015-03-31,9.56,$0.02,490.25
2014-12-31,10.41,$0.05,199.81
2014-09-30,9.17,$0.11,86.05
2014-06-30,8.77,$0.10,90.79
2013-12-31,8.1,$0.33,24.59
2013-09-30,7.21,$0.48,15.07
2013-06-30,6.45,$0.41,15.57
2013-03-31,6.81,$0.46,14.75
2012-12-31,5.42,$0.41,13.12
2014-03-31,8.2,$0.19,42.52
2012-09-30,5.66,$0.24,24.09
2012-06-30,6.07,$0.27,22.62
2012-03-31,5.8,$0.40,14.64
2011-12-31,5.65,$0.44,12.86
2011-09-30,4.98,$0.46,10.92
2011-06-30,6.95,$0.42,16.44
2011-03-31,6.91,$0.36,19.24
2010-12-31,5.66,$0.44,12.82
2010-09-30,4.83,$0.37,13.04
2010-06-30,4.31,$0.31,13.99
2010-03-31,4.4,$0.26,16.76
2009-12-31,4.17,$0.18,22.57
