Foot Locker Price to Free Cash Flow Ratio Historical Data,Foot Locker Price to Free Cash Flow Ratio Historical Data,Foot Locker Price to Free Cash Flow Ratio Historical Data,Foot Locker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.69,,15.1
2024-07-31,29.06,$1.64,17.77
2024-04-30,20.85,$0.30,68.83
2024-01-31,28.16,$-1.37,0.0
2023-10-31,20.99,$-1.08,0.0
2023-07-31,26.36,$-1.53,0.0
2023-04-30,40.57,$-1.35,0.0
2023-01-31,41.62,$-0.68,0.0
2022-10-31,30.01,$-1.23,0.0
2022-07-31,26.53,$-0.84,0.0
2022-04-30,26.96,$-0.11,0.0
2022-01-31,40.56,$4.43,9.15
2021-10-31,42.98,$6.83,6.3
2021-07-31,51.12,$6.67,7.67
2021-04-30,52.66,$13.55,3.88
2021-01-31,38.99,$8.59,4.54
2020-10-31,32.71,$7.44,4.4
2020-07-31,25.97,$7.44,3.49
2020-04-30,22.64,$0.66,34.35
2020-01-31,32.94,$4.68,7.03
2019-10-31,37.39,$5.31,7.05
2019-07-31,34.98,$4.69,7.45
2019-04-30,48.3,$4.59,10.52
2019-01-31,46.91,$5.13,9.14
2018-10-31,39.33,$4.26,9.23
2018-07-31,40.43,$6.11,6.61
2018-04-30,35.46,$6.54,5.42
2018-01-31,40.12,$4.21,9.52
2017-10-31,24.4,$4.47,5.46
2017-07-31,37.9,$3.17,11.96
2017-04-30,61.72,$3.76,16.42
2017-01-31,54.47,$4.28,12.73
2016-10-31,52.85,$4.41,11.99
2016-07-31,47.01,$4.33,10.86
2016-04-30,48.21,$1.54,31.25
2016-01-31,52.78,$1.93,27.31
2015-10-31,52.72,$-0.13,0.0
2015-07-31,54.7,$0.03,1709.22
2015-01-31,40.94,$3.61,11.34
2014-10-31,42.91,$3.14,13.66
2014-07-31,36.27,$3.99,9.09
2014-04-30,35.34,$3.92,9.01
2014-01-31,29.17,$1.97,14.78
2015-04-30,45.92,$2.21,20.74
2013-10-31,26.1,$1.88,13.9
2013-07-31,27.01,$2.04,13.24
2013-04-30,25.92,$2.35,11.03
2013-01-31,25.38,$1.64,15.45
2012-10-31,24.62,$2.14,11.53
2012-07-31,24.15,$2.32,10.4
2012-04-30,22.24,$2.04,10.9
2012-01-31,18.97,$2.23,8.49
2011-10-31,15.7,$2.16,7.28
2011-07-31,15.48,$1.78,8.71
2011-04-30,15.23,$1.81,8.4
2011-01-31,12.54,$1.46,8.58
2010-10-31,11.09,$1.50,7.37
2010-07-31,9.37,$1.49,6.29
2010-04-30,10.47,$1.83,5.71
2010-01-31,7.63,$1.64,4.64
2009-10-31,7.0,$1.99,3.52
