Burlington Stores Price to Free Cash Flow Ratio Historical Data,Burlington Stores Price to Free Cash Flow Ratio Historical Data,Burlington Stores Price to Free Cash Flow Ratio Historical Data,Burlington Stores Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,261.0,,44.92
2024-07-31,260.32,$5.81,44.8
2024-04-30,179.94,$6.64,27.09
2024-01-31,191.15,$6.00,31.85
2023-10-31,121.03,$7.04,17.19
2023-07-31,177.62,$5.64,31.47
2023-04-30,192.81,$4.43,43.52
2023-01-31,229.83,$2.69,85.59
2022-10-31,142.96,$-3.00,0.0
2022-07-31,141.13,$-2.12,0.0
2022-04-30,203.56,$0.76,266.68
2022-01-31,236.93,$7.18,32.98
2021-10-31,276.29,$9.65,28.62
2021-07-31,334.8,$12.55,26.67
2021-04-30,326.33,$6.51,50.15
2021-01-31,248.9,$-0.82,0.0
2020-10-31,193.58,$0.17,1128.09
2020-07-31,188.0,$-1.81,0.0
2020-04-30,182.69,$3.71,49.21
2020-01-31,217.47,$8.37,25.98
2019-10-31,192.17,$6.10,31.5
2019-07-31,180.75,$5.43,33.29
2019-04-30,168.91,$4.58,36.87
2019-01-31,171.71,$5.09,33.7
2018-10-31,171.49,$6.63,25.85
2018-07-31,152.81,$5.97,25.59
2018-04-30,135.85,$5.24,25.92
2018-01-31,121.71,$4.82,25.23
2017-10-31,93.89,$4.25,22.1
2017-07-31,87.03,$5.10,17.05
2017-04-30,98.92,$5.69,17.38
2017-01-31,83.7,$6.07,13.78
2016-10-31,74.94,$4.79,15.66
2016-07-31,76.51,$3.43,22.32
2016-04-30,56.97,$2.77,20.57
2016-01-31,53.73,$1.88,28.57
2015-10-31,48.08,$1.43,33.54
2015-07-31,55.04,$0.57,95.89
2015-04-30,51.57,$0.26,199.5
2015-01-31,49.89,$1.07,46.42
2014-10-31,41.94,$-0.59,0.0
2014-07-31,32.73,$-0.25,0.0
