Innovex Price to Free Cash Flow Ratio Historical Data,Innovex Price to Free Cash Flow Ratio Historical Data,Innovex Price to Free Cash Flow Ratio Historical Data,Innovex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.55,,25.49
2024-06-30,18.6,$0.61,30.49
2024-03-31,22.53,$1.11,20.31
2023-12-31,23.27,$0.11,206.84
2023-09-30,28.17,$-1.24,0.0
2023-06-30,23.27,$-1.53,0.0
2023-03-31,28.69,$-1.88,0.0
2022-12-31,27.17,$-1.01,0.0
2022-09-30,19.52,$-0.32,0.0
2022-06-30,25.8,$-0.37,0.0
2022-03-31,37.35,$0.16,233.73
2021-12-31,19.68,$1.00,19.74
2021-09-30,25.18,$0.45,56.02
2021-06-30,33.83,$0.61,55.58
2021-03-31,33.23,$0.40,82.72
2020-12-31,29.62,$-0.76,0.0
2020-09-30,24.76,$-0.15,0.0
2020-06-30,29.79,$-0.71,0.0
2020-03-31,30.5,$-0.46,0.0
2019-12-31,46.91,$0.17,273.21
2019-09-30,50.18,$0.37,136.73
2019-06-30,48.0,$0.65,74.27
2019-03-31,45.85,$0.73,62.93
2018-12-31,30.03,$0.82,36.71
2018-09-30,52.25,$1.19,43.84
2018-06-30,51.4,$1.91,26.86
2018-03-31,44.8,$2.07,21.68
2017-12-31,47.7,$2.23,21.39
2017-09-30,44.15,$2.01,22.01
2017-06-30,48.8,$2.65,18.4
2017-03-31,54.55,$4.87,11.2
2016-12-31,60.05,$5.87,10.23
2016-09-30,55.74,$5.92,9.42
2016-06-30,58.43,$5.54,10.55
2016-03-31,60.56,$3.35,18.09
2015-12-31,59.23,$4.24,13.96
2015-09-30,58.22,$4.56,12.75
2015-06-30,75.25,$4.22,17.83
2015-03-31,68.39,$3.89,17.59
2014-12-31,76.73,$2.68,28.62
2014-09-30,89.4,$2.04,43.92
2014-06-30,109.24,$2.48,44.09
2014-03-31,112.1,$2.27,49.39
2013-12-31,109.93,$2.95,37.33
2013-09-30,114.75,$2.52,45.58
2013-06-30,90.29,$1.60,56.36
2013-03-31,87.17,$0.51,169.3
2012-12-31,73.05,$-1.41,0.0
2012-09-30,71.88,$-0.24,0.0
2012-06-30,65.59,$-0.39,0.0
2012-03-31,65.02,$0.27,244.99
2011-12-31,65.82,$1.18,55.68
2011-09-30,53.91,$-0.28,0.0
2011-06-30,67.83,$0.40,170.34
2011-03-31,79.03,$1.00,79.06
2010-12-31,77.72,$0.85,91.01
2010-09-30,62.11,$2.70,22.98
2010-06-30,44.02,$2.34,18.84
2010-03-31,60.84,$2.07,29.37
2009-12-31,56.48,$2.33,24.25
