James Hardie Industries Price to Free Cash Flow Ratio Historical Data,James Hardie Industries Price to Free Cash Flow Ratio Historical Data,James Hardie Industries Price to Free Cash Flow Ratio Historical Data,James Hardie Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.7,,40.41
2024-06-30,31.54,$0.91,34.72
2024-03-31,40.46,$1.07,37.92
2023-12-31,38.67,$1.05,36.87
2023-09-30,26.24,$0.66,39.66
2023-06-30,26.89,$0.40,67.17
2023-03-31,21.65,$0.07,317.45
2022-12-31,17.94,$-0.01,0.0
2022-09-30,19.78,$0.22,89.95
2022-06-30,21.94,$0.49,44.98
2022-03-31,29.81,$0.85,35.09
2021-12-31,40.22,$1.02,39.5
2021-09-30,34.92,$1.24,28.11
2021-06-30,33.46,$1.47,22.71
2021-03-31,29.93,$1.52,19.67
2020-12-31,28.38,$1.41,20.12
2020-09-30,22.78,$1.13,20.17
2020-06-30,18.41,$0.78,23.66
2020-03-31,11.46,$0.60,19.18
2019-12-31,18.79,$0.33,56.51
2019-09-30,16.0,$0.18,90.47
2019-06-30,12.58,$0.06,198.06
2019-03-31,12.01,$-0.03,0.0
2018-12-31,10.95,$0.12,90.75
2018-09-30,14.11,$0.15,92.51
2018-06-30,15.63,$0.23,67.3
2018-03-31,16.25,$0.24,67.69
2017-12-31,16.01,$0.25,62.82
2017-09-30,12.7,$0.40,31.63
2017-06-30,14.25,$0.31,46.2
2017-03-31,14.01,$0.43,32.69
2016-12-31,14.1,$0.56,25.35
2016-09-30,13.86,$0.54,25.85
2016-06-30,13.52,$0.57,23.69
2016-03-31,11.79,$0.44,26.68
2015-12-31,10.96,$0.45,24.28
2015-09-30,10.33,$0.19,53.9
2015-06-30,11.38,$-0.11,0.0
2015-03-31,9.56,$-0.21,0.0
2014-12-31,8.99,$-0.26,0.0
2014-09-30,8.57,$-0.11,0.0
2014-06-30,10.72,$0.34,31.93
2014-03-31,10.77,$0.47,23.02
2013-12-31,8.86,$0.44,20.3
2013-09-30,7.57,$0.48,15.63
2013-06-30,6.61,$0.15,43.43
2013-03-31,7.72,$0.11,68.42
2012-12-31,7.15,$0.71,10.1
2012-09-30,6.61,$0.69,9.63
2012-06-30,6.0,$0.86,6.97
2012-03-31,5.59,$0.80,6.94
2011-12-31,4.87,$0.26,18.83
2011-09-30,3.81,$0.30,12.54
2011-06-30,4.35,$0.33,13.04
2011-03-31,4.37,$0.22,19.59
2010-12-31,4.88,$0.07,66.87
2010-09-30,3.7,$-0.05,0.0
2010-06-30,3.58,$0.03,109.33
2010-03-31,4.56,$0.29,15.82
2009-12-31,5.28,$0.21,25.45
