Aveanna Healthcare Holdings Price to Free Cash Flow Ratio Historical Data,Aveanna Healthcare Holdings Price to Free Cash Flow Ratio Historical Data,Aveanna Healthcare Holdings Price to Free Cash Flow Ratio Historical Data,Aveanna Healthcare Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.42,,95.93
2024-06-30,2.76,$0.06,48.85
2024-03-31,2.49,$-0.01,0.0
2023-12-31,2.68,$0.09,30.73
2023-09-30,1.19,$-0.12,0.0
2023-06-30,1.69,$-0.17,0.0
2023-03-31,1.04,$-0.22,0.0
2022-12-31,0.78,$-0.33,0.0
2022-09-30,1.5,$-0.31,0.0
2022-06-30,2.26,$-0.24,0.0
2022-03-31,3.41,$-0.23,0.0
