EastGroup Properties Price to Free Cash Flow Ratio Historical Data,EastGroup Properties Price to Free Cash Flow Ratio Historical Data,EastGroup Properties Price to Free Cash Flow Ratio Historical Data,EastGroup Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,182.02,,0.0
2024-06-30,168.83,$-5.13,0.0
2024-03-31,177.11,$-6.40,0.0
2023-12-31,179.54,$-5.87,0.0
2023-09-30,161.79,$-4.20,0.0
2023-06-30,167.38,$-3.34,0.0
2023-03-31,158.25,$-3.53,0.0
2022-12-31,140.65,$-5.16,0.0
2022-09-30,135.97,$-9.13,0.0
2022-06-30,144.11,$-10.68,0.0
2022-03-31,188.49,$-10.68,0.0
2021-12-31,210.15,$-7.61,0.0
2021-09-30,152.94,$-4.49,0.0
2021-06-30,150.14,$-1.78,0.0
2021-03-31,130.19,$0.55,237.44
2020-12-31,124.76,$-2.07,0.0
2020-09-30,116.21,$-3.83,0.0
2020-06-30,105.93,$-5.79,0.0
2020-03-31,92.71,$-8.75,0.0
2019-12-31,116.89,$-8.07,0.0
2019-09-30,109.53,$-4.96,0.0
2019-06-30,101.0,$-4.47,0.0
2019-03-31,96.61,$-2.52,0.0
2018-12-31,78.88,$-2.75,0.0
2018-09-30,81.57,$-2.73,0.0
2018-06-30,80.9,$-1.59,0.0
2018-03-31,69.5,$-1.27,0.0
2017-12-31,73.74,$-1.54,0.0
2017-09-30,73.01,$-3.03,0.0
2017-06-30,68.94,$-4.89,0.0
2017-03-31,60.06,$-4.14,0.0
2016-12-31,59.8,$-3.57,0.0
2016-09-30,59.06,$-1.88,0.0
2016-06-30,54.84,$-0.16,0.0
2016-03-31,47.61,$-0.80,0.0
2015-12-31,43.41,$-0.67,0.0
2015-09-30,41.85,$-0.06,0.0
2015-06-30,42.95,$0.09,488.05
2015-03-31,45.48,$-1.35,0.0
2014-12-31,47.43,$-1.62,0.0
2014-09-30,44.98,$-1.23,0.0
2014-06-30,47.25,$-1.48,0.0
2014-03-31,45.89,$-2.07,0.0
2013-12-31,41.89,$-1.97,0.0
2013-09-30,42.43,$-3.66,0.0
2013-06-30,39.95,$-3.53,0.0
2013-03-31,40.93,$-1.05,0.0
2012-12-31,37.49,$-1.17,0.0
2012-09-30,36.69,$-1.96,0.0
2012-06-30,36.41,$-2.89,0.0
2012-03-31,33.95,$-2.80,0.0
2011-12-31,29.09,$-2.34,0.0
2011-09-30,25.19,$0.18,142.58
2011-06-30,27.72,$1.45,19.13
2011-03-31,28.31,$1.49,18.95
2010-12-31,26.91,$0.75,35.94
2010-09-30,23.48,$0.70,33.74
2010-06-30,22.04,$0.50,43.66
2010-03-31,23.06,$0.05,436.65
2009-12-31,23.07,$0.52,44.48
