Zscaler Price to Free Cash Flow Ratio Historical Data,Zscaler Price to Free Cash Flow Ratio Historical Data,Zscaler Price to Free Cash Flow Ratio Historical Data,Zscaler Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,199.98,,55.32
2024-04-30,172.94,$3.62,47.84
2024-01-31,235.67,$3.39,69.5
2023-10-31,158.69,$3.16,50.26
2023-07-31,160.38,$2.30,69.68
2023-04-30,90.1,$2.13,42.24
2023-01-31,124.16,$1.94,64.16
2022-10-31,154.1,$1.71,90.13
2022-07-31,155.06,$1.64,94.44
2022-04-30,202.74,$1.32,154.08
2022-01-31,257.11,$1.42,181.55
2021-10-31,318.86,$1.34,237.65
2021-07-31,235.91,$1.06,222.64
2021-04-30,187.64,$0.94,200.58
2021-01-31,199.7,$0.60,332.45
2020-10-31,135.75,$0.46,298.16
2020-07-31,129.85,$0.21,610.48
2020-04-30,67.08,$0.19,351.76
2020-01-31,56.09,$0.16,360.48
2019-10-31,43.98,$0.27,164.23
2019-07-31,84.27,$0.24,354.82
2019-04-30,68.31,$0.34,200.44
2019-01-31,48.37,$0.17,278.47
