NMI Holdings Inc Price to Free Cash Flow Ratio Historical Data,NMI Holdings Inc Price to Free Cash Flow Ratio Historical Data,NMI Holdings Inc Price to Free Cash Flow Ratio Historical Data,NMI Holdings Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.5,,9.17
2024-06-30,34.04,$4.52,7.53
2024-03-31,32.34,$4.27,7.58
2023-12-31,29.68,$3.97,7.47
2023-09-30,27.09,$3.96,6.84
2023-06-30,25.82,$3.80,6.8
2023-03-31,22.33,$3.67,6.09
2022-12-31,20.9,$3.52,5.94
2022-09-30,20.37,$3.68,5.54
2022-06-30,16.65,$3.52,4.73
2022-03-31,20.62,$3.55,5.82
2021-12-31,21.85,$3.61,6.06
2021-09-30,22.61,$3.76,6.01
2021-06-30,22.48,$3.41,6.59
2021-03-31,23.64,$3.33,7.09
2020-12-31,22.65,$3.03,7.47
2020-09-30,17.8,$3.36,5.29
2020-06-30,16.08,$3.31,4.86
2020-03-31,11.61,$3.12,3.73
2019-12-31,33.18,$2.84,11.67
2019-09-30,26.26,$2.55,10.28
2019-06-30,28.39,$2.38,11.92
2019-03-31,25.87,$2.12,12.2
2018-12-31,17.85,$2.04,8.76
2018-09-30,22.65,$1.77,12.83
2018-06-30,16.3,$1.64,9.91
2018-03-31,16.55,$1.34,12.38
2017-12-31,17.0,$0.95,17.84
2017-09-30,12.4,$0.82,15.09
2017-06-30,11.45,$0.79,14.47
2017-03-31,11.4,$0.94,12.15
2016-12-31,10.65,$0.99,10.71
2016-09-30,7.62,$1.12,6.78
2016-06-30,5.48,$1.03,5.32
2016-03-31,5.05,$0.73,6.95
2015-12-31,6.77,$0.60,11.25
2015-09-30,7.6,$0.15,49.9
2015-06-30,8.02,$-0.19,0.0
2015-03-31,7.49,$-0.42,0.0
2014-12-31,9.13,$-0.50,0.0
2014-09-30,8.65,$-1.22,0.0
