RPC Price to Free Cash Flow Ratio Historical Data,RPC Price to Free Cash Flow Ratio Historical Data,RPC Price to Free Cash Flow Ratio Historical Data,RPC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.58,,6.48
2024-06-30,6.21,$1.02,6.12
2024-03-31,7.65,$0.79,9.68
2023-12-31,7.15,$1.09,6.57
2023-09-30,8.73,$1.31,6.69
2023-06-30,6.95,$0.75,9.26
2023-03-31,7.43,$0.73,10.17
2022-12-31,8.56,$0.36,23.53
2022-09-30,6.66,$-0.16,0.0
2022-06-30,6.62,$-0.18,0.0
2022-03-31,10.22,$-0.04,0.0
2021-12-31,4.35,$0.00,0.0
2021-09-30,4.66,$-0.30,0.0
2021-06-30,4.74,$-0.11,0.0
2021-03-31,5.17,$0.01,377.62
2020-12-31,3.02,$0.16,18.39
2020-09-30,2.53,$0.46,5.54
2020-06-30,2.95,$0.46,6.36
2020-03-31,1.97,$-0.07,0.0
2019-12-31,5.02,$-0.13,0.0
2019-09-30,5.37,$-0.00,0.0
2019-06-30,6.91,$0.21,33.3
2019-03-31,10.88,$0.56,19.53
2018-12-31,9.32,$0.75,12.42
2018-09-30,14.44,$0.55,26.2
2018-06-30,13.5,$0.51,26.32
2018-03-31,16.62,$0.53,31.37
2017-12-31,23.41,$0.14,171.1
2017-09-30,22.6,$0.23,100.01
2017-06-30,18.37,$0.04,511.8
2017-03-31,16.65,$0.06,278.36
2016-12-31,18.01,$0.38,48.01
2016-09-30,15.23,$0.73,20.98
2016-06-30,14.08,$0.86,16.38
2016-03-31,12.85,$1.24,10.35
2015-12-31,10.83,$1.50,7.2
2015-09-30,8.02,$1.07,7.5
2015-06-30,12.54,$0.92,13.7
2015-03-31,11.57,$0.15,78.57
2014-12-31,11.69,$-0.14,0.0
2014-09-30,19.55,$0.03,695.79
2014-06-30,20.81,$0.32,66.05
2014-03-31,18.01,$0.81,22.12
2013-12-31,15.64,$0.81,19.37
2013-09-30,13.48,$0.92,14.65
2013-06-30,11.95,$1.11,10.73
2013-03-31,13.03,$1.03,12.63
2012-12-31,10.45,$1.15,9.05
2012-09-30,9.9,$0.79,12.45
2012-06-30,9.84,$0.55,18.05
2012-03-31,8.71,$0.28,31.05
2011-12-31,9.91,$-0.03,0.0
2011-09-30,8.82,$0.12,75.67
2011-06-30,13.21,$-0.08,0.0
2011-03-31,13.59,$0.07,186.69
2010-12-31,9.69,$-0.01,0.0
2010-09-30,7.52,$0.06,115.9
2010-06-30,4.84,$0.19,25.78
2010-03-31,3.93,$0.18,21.73
2009-12-31,3.66,$0.50,7.37
