Dime Community Bancshares Price to Free Cash Flow Ratio Historical Data,Dime Community Bancshares Price to Free Cash Flow Ratio Historical Data,Dime Community Bancshares Price to Free Cash Flow Ratio Historical Data,Dime Community Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.45,,27.68
2024-06-30,20.04,$1.14,17.63
2023-12-31,25.82,$2.23,11.58
2023-09-30,18.9,$10.06,1.88
2023-06-30,16.48,$8.72,1.89
2023-03-31,20.98,$10.59,1.98
2022-12-31,29.18,$12.04,2.42
2024-03-31,18.66,$7.28,2.56
2022-09-30,26.64,$6.26,4.26
2022-06-30,26.76,$6.14,4.36
2022-03-31,30.99,$5.96,5.2
2021-12-31,31.32,$3.76,8.33
2021-09-30,28.89,$4.48,6.45
2021-06-30,29.51,$3.10,9.53
2021-03-31,26.27,$1.66,15.81
2020-12-31,20.89,$2.74,7.63
2020-09-30,14.88,$2.72,5.47
2020-06-30,19.25,$2.49,7.74
2020-03-31,17.6,$3.15,5.59
2019-12-31,27.69,$2.88,9.61
2019-09-30,24.22,$3.25,7.46
2019-06-30,23.94,$2.90,8.27
2019-03-31,23.64,$2.61,9.06
2018-12-31,20.4,$2.73,7.48
2018-09-30,26.37,$2.38,11.1
2018-06-30,28.38,$2.42,11.75
2018-03-31,26.29,$2.57,10.23
2017-12-31,27.26,$2.31,11.8
2017-09-30,26.27,$2.53,10.38
2017-06-30,25.59,$2.53,10.1
2017-03-31,26.71,$2.20,12.13
2016-12-31,28.73,$2.24,12.83
2016-09-30,21.5,$2.61,8.23
2016-06-30,21.19,$2.84,7.45
2016-03-31,22.56,$2.05,11.0
2015-12-31,22.35,$1.88,11.89
2015-09-30,19.45,$0.99,19.59
2015-06-30,19.27,$1.21,15.87
2015-03-31,18.49,$2.17,8.53
2014-12-31,18.98,$1.81,10.47
2014-09-30,16.62,$2.35,7.08
2014-06-30,16.7,$1.27,13.15
2014-03-31,18.42,$1.92,9.59
2013-12-31,17.77,$2.24,7.94
2013-09-30,14.55,$1.61,9.04
2013-06-30,15.08,$2.48,6.08
2013-03-31,14.26,$2.00,7.13
2012-12-31,13.49,$2.23,6.05
2012-09-30,15.13,$2.37,6.38
2012-06-30,15.16,$2.28,6.65
2012-03-31,13.33,$2.45,5.45
2011-12-31,12.51,$2.55,4.9
2011-09-30,11.37,$3.50,3.25
2011-06-30,13.08,$2.16,6.06
2011-03-31,13.61,$1.76,7.73
2010-12-31,15.0,$1.86,8.05
2010-09-30,14.93,$-0.25,0.0
2010-06-30,14.37,$1.16,12.4
2010-03-31,13.72,$1.25,11.01
2009-12-31,14.09,$0.84,16.82
