FirstEnergy Price to Free Cash Flow Ratio Historical Data,FirstEnergy Price to Free Cash Flow Ratio Historical Data,FirstEnergy Price to Free Cash Flow Ratio Historical Data,FirstEnergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,43.92,,0.0
2024-06-30,37.89,$-1.73,0.0
2024-03-31,37.82,$-3.54,0.0
2023-12-31,35.49,$-3.43,0.0
2023-09-30,32.72,$-3.46,0.0
2023-06-30,36.82,$-3.30,0.0
2023-03-31,37.56,$-1.29,0.0
2022-12-31,38.94,$-0.29,0.0
2022-09-30,34.01,$-0.05,0.0
2022-06-30,34.93,$0.54,64.57
2022-03-31,41.35,$0.40,102.94
2021-12-31,37.15,$0.59,62.61
2021-09-30,31.5,$0.42,74.79
2021-06-30,32.57,$0.05,620.46
2021-03-31,30.05,$-0.24,0.0
2020-12-31,26.2,$-2.27,0.0
2020-09-30,24.25,$-2.12,0.0
2020-06-30,32.33,$-1.34,0.0
2020-03-31,33.08,$-1.15,0.0
2019-12-31,39.82,$-0.37,0.0
2019-09-30,39.2,$-0.11,0.0
2019-06-30,34.5,$-0.32,0.0
2019-03-31,33.23,$-0.06,0.0
2018-12-31,29.69,$-1.70,0.0
2018-09-30,29.11,$-0.34,0.0
2018-06-30,27.85,$0.60,46.74
2018-03-31,26.1,$0.16,161.71
2017-12-31,23.23,$3.62,6.41
2017-09-30,23.13,$2.35,9.84
2017-06-30,21.64,$1.88,11.5
2017-03-31,23.32,$1.88,12.42
2016-12-31,22.43,$1.32,16.97
2016-09-30,23.7,$2.16,10.96
2016-06-30,24.74,$2.96,8.37
2016-03-31,25.22,$2.84,8.88
2015-12-31,22.01,$1.83,12.03
2015-09-30,21.47,$1.01,21.17
2015-06-30,22.09,$0.22,98.55
2015-03-31,23.55,$-0.37,0.0
2014-12-31,25.96,$-0.49,0.0
2014-09-30,22.13,$-0.06,0.0
2014-06-30,22.64,$0.38,59.29
2014-03-31,21.95,$0.68,32.13
2013-12-31,21.02,$0.07,314.7
2013-09-30,22.89,$-0.53,0.0
2013-06-30,23.11,$-0.99,0.0
2013-03-31,25.8,$-0.45,0.0
2012-12-31,25.18,$-0.81,0.0
2012-09-30,26.26,$0.39,67.62
2012-06-30,28.96,$2.37,12.24
2012-03-31,26.53,$2.09,12.71
2011-12-31,25.46,$4.42,5.76
2011-09-30,25.5,$5.32,4.79
2011-06-30,24.76,$4.74,5.22
2011-03-31,20.53,$4.39,4.68
2010-12-31,20.2,$4.63,4.36
2010-09-30,20.71,$3.60,5.76
2010-06-30,18.66,$0.92,20.25
2010-03-31,20.39,$1.89,10.78
2009-12-31,23.93,$0.92,25.87
