Donnelley Financial Solutions Price to Free Cash Flow Ratio Historical Data,Donnelley Financial Solutions Price to Free Cash Flow Ratio Historical Data,Donnelley Financial Solutions Price to Free Cash Flow Ratio Historical Data,Donnelley Financial Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.36,,18.05
2024-06-30,59.62,$3.73,15.98
2024-03-31,62.01,$3.16,19.64
2023-12-31,62.37,$2.03,30.68
2023-09-30,56.28,$1.96,28.67
2023-06-30,45.53,$2.12,21.45
2023-03-31,40.86,$2.74,14.91
2022-12-31,38.65,$2.97,13.0
2022-09-30,36.97,$2.96,12.47
2022-06-30,29.29,$3.69,7.95
2022-03-31,33.26,$3.45,9.64
2021-12-31,47.14,$3.91,12.05
2021-09-30,34.62,$4.97,6.96
2021-06-30,33.0,$4.06,8.13
2021-03-31,27.83,$3.57,7.79
2020-12-31,16.97,$3.63,4.67
2020-09-30,13.36,$2.25,5.95
2020-06-30,8.4,$2.69,3.13
2020-03-31,5.27,$2.35,2.25
2019-12-31,10.47,$1.17,8.91
2019-09-30,12.32,$0.97,12.73
2019-06-30,13.34,$0.12,112.38
2019-03-31,14.88,$0.18,84.64
2018-12-31,14.03,$0.86,16.34
2018-09-30,17.92,$1.14,15.69
2018-06-30,17.37,$1.54,11.3
2018-03-31,17.17,$1.44,11.96
2017-12-31,19.49,$1.91,10.2
2017-09-30,21.56,$2.84,7.6
