California Water Service Group Price to Free Cash Flow Ratio Historical Data,California Water Service Group Price to Free Cash Flow Ratio Historical Data,California Water Service Group Price to Free Cash Flow Ratio Historical Data,California Water Service Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,53.68,,0.0
2024-06-30,48.23,$-2.10,0.0
2024-03-31,45.98,$-3.31,0.0
2023-12-31,51.01,$-2.96,0.0
2023-09-30,46.29,$-3.47,0.0
2023-06-30,50.27,$-3.02,0.0
2023-03-31,56.4,$-2.52,0.0
2022-12-31,58.53,$-1.69,0.0
2022-09-30,50.64,$-1.17,0.0
2022-06-30,53.17,$-0.93,0.0
2022-03-31,56.46,$-0.73,0.0
2021-12-31,68.16,$-1.19,0.0
2021-09-30,55.69,$-1.71,0.0
2021-06-30,52.3,$-2.74,0.0
2021-03-31,52.85,$-2.22,0.0
2020-12-31,50.48,$-2.28,0.0
2020-09-30,40.41,$-0.88,0.0
2020-06-30,44.17,$-1.49,0.0
2019-12-31,47.34,$-2.18,0.0
2019-09-30,48.41,$-2.05,0.0
2019-06-30,46.14,$-3.56,0.0
2019-03-31,49.46,$-2.94,0.0
2018-12-31,43.26,$-2.99,0.0
2020-03-31,46.38,$-3.20,0.0
2018-09-30,38.78,$-2.78,0.0
2018-06-30,35.04,$-2.54,0.0
2018-03-31,33.36,$-2.41,0.0
2017-12-31,40.41,$-2.31,0.0
2017-09-30,33.85,$-2.00,0.0
2017-06-30,32.5,$-1.76,0.0
2017-03-31,31.5,$-1.68,0.0
2016-12-31,29.63,$-1.42,0.0
2016-09-30,27.89,$-1.51,0.0
2016-06-30,30.2,$-1.26,0.0
2016-03-31,22.96,$-1.01,0.0
2015-12-31,19.85,$-0.66,0.0
2015-09-30,18.73,$-0.41,0.0
2015-06-30,19.2,$-0.36,0.0
2015-03-31,20.45,$0.05,447.48
2014-12-31,20.4,$-0.08,0.0
2014-09-30,18.48,$0.17,110.54
2014-06-30,19.79,$0.35,56.29
2014-03-31,19.43,$0.03,736.0
2013-12-31,18.59,$0.03,728.86
2013-09-30,16.25,$0.26,63.29
2013-06-30,15.49,$0.20,77.34
2013-03-31,15.67,$-0.02,0.0
2012-12-31,14.33,$-0.09,0.0
2012-09-30,14.43,$0.11,136.82
2012-06-30,14.17,$-0.72,0.0
2011-12-31,13.77,$-0.17,0.0
2011-09-30,13.24,$-0.83,0.0
2011-06-30,13.88,$-1.27,0.0
2011-03-31,13.67,$-1.02,0.0
2010-12-31,13.59,$-1.59,0.0
2012-03-31,13.84,$-0.66,0.0
2010-09-30,13.36,$-1.22,0.0
2010-06-30,12.8,$-1.04,0.0
2010-03-31,13.38,$-0.69,0.0
2009-12-31,12.99,$-0.90,0.0
