Revolve Price to Free Cash Flow Ratio Historical Data,Revolve Price to Free Cash Flow Ratio Historical Data,Revolve Price to Free Cash Flow Ratio Historical Data,Revolve Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.35,,113.77
2024-06-30,15.91,$0.23,68.7
2024-03-31,21.17,$0.40,52.48
2023-12-31,16.58,$0.53,31.17
2023-09-30,13.61,$0.43,31.45
2023-06-30,16.4,$0.39,41.88
2023-03-31,26.3,$0.18,144.98
2022-12-31,22.26,$0.25,90.78
2022-09-30,21.69,$0.33,66.29
2022-06-30,25.91,$0.22,116.34
2022-03-31,53.69,$1.07,50.05
2021-12-31,56.04,$0.81,69.49
2021-09-30,61.77,$0.85,72.47
2021-06-30,68.9,$1.02,67.25
2021-03-31,44.93,$1.33,33.9
2020-12-31,31.17,$0.99,31.44
2020-09-30,16.43,$5.10,3.22
2020-06-30,14.86,$4.93,3.01
2020-03-31,8.64,$4.46,1.94
