Bancorp Price to Free Cash Flow Ratio Historical Data,Bancorp Price to Free Cash Flow Ratio Historical Data,Bancorp Price to Free Cash Flow Ratio Historical Data,Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,59.01,,15.72
2024-06-30,37.76,$3.75,10.06
2024-03-31,33.46,$3.84,8.72
2023-12-31,38.56,$3.16,12.2
2023-09-30,34.5,$2.97,11.62
2023-06-30,32.65,$2.51,13.03
2023-03-31,27.85,$2.43,11.47
2022-12-31,28.38,$2.02,14.03
2022-09-30,21.98,$1.32,16.62
2022-06-30,19.52,$1.51,12.96
2022-03-31,28.33,$1.37,20.66
2021-12-31,25.31,$1.40,18.08
2021-09-30,25.45,$1.68,15.16
2021-06-30,23.01,$12.16,1.89
2021-03-31,20.72,$11.10,1.87
2020-12-31,13.65,$2.00,6.82
2020-09-30,8.64,$-0.16,0.0
2020-06-30,9.8,$-4.11,0.0
2020-03-31,6.07,$-9.37,0.0
2019-12-31,12.97,$1.13,11.46
2019-09-30,9.9,$-3.18,0.0
2019-06-30,8.92,$-8.62,0.0
2019-03-31,8.08,$-3.87,0.0
2018-12-31,7.96,$-3.09,0.0
2018-09-30,9.59,$1.49,6.44
2018-06-30,10.46,$2.77,3.78
2018-03-31,10.8,$3.21,3.37
2017-12-31,9.88,$-0.49,0.0
2017-09-30,8.27,$-0.04,0.0
2017-06-30,7.58,$-6.44,0.0
2017-03-31,5.1,$-10.29,0.0
2016-12-31,7.86,$-3.80,0.0
2016-09-30,6.42,$-5.38,0.0
2016-06-30,6.02,$-3.76,0.0
2016-03-31,5.72,$-0.10,0.0
2015-12-31,6.37,$-6.40,0.0
2015-09-30,7.62,$-3.53,0.0
2015-06-30,9.28,$-0.68,0.0
2015-03-31,9.03,$1.47,6.13
2014-12-31,10.89,$-1.48,0.0
2014-09-30,8.59,$-3.16,0.0
2014-06-30,11.91,$-4.52,0.0
2014-03-31,18.81,$-5.84,0.0
2013-12-31,17.91,$-1.28,0.0
2013-09-30,17.69,$-3.01,0.0
2013-06-30,14.99,$-2.71,0.0
2013-03-31,13.85,$-2.27,0.0
2012-12-31,10.97,$-2.53,0.0
2012-09-30,10.27,$0.82,12.52
2012-06-30,9.43,$1.25,7.56
2012-03-31,10.04,$1.03,9.75
2011-12-31,7.23,$1.14,6.32
2011-09-30,7.16,$0.95,7.53
2011-06-30,10.45,$0.72,14.44
2011-03-31,9.23,$1.07,8.62
2010-12-31,10.17,$0.08,127.76
2010-09-30,6.69,$1.11,6.02
2010-06-30,7.83,$1.07,7.34
2010-03-31,8.9,$1.17,7.63
2009-12-31,6.86,$2.32,2.96
