Allete Price to Free Cash Flow Ratio Historical Data,Allete Price to Free Cash Flow Ratio Historical Data,Allete Price to Free Cash Flow Ratio Historical Data,Allete Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.42,,25.47
2024-06-30,61.67,$2.53,24.38
2024-03-31,58.33,$5.07,11.5
2023-12-31,59.09,$5.47,10.8
2023-09-30,50.4,$7.12,7.08
2023-06-30,54.67,$5.44,10.05
2023-03-31,60.05,$1.58,38.06
2022-12-31,59.5,$0.01,4160.73
2022-09-30,45.69,$-2.04,0.0
2022-06-30,53.11,$-2.28,0.0
2022-03-31,59.87,$-4.41,0.0
2021-12-31,58.69,$-4.11,0.0
2021-09-30,52.14,$-5.77,0.0
2021-06-30,60.76,$-6.45,0.0
2021-03-31,57.82,$-7.79,0.0
2020-12-31,52.79,$-8.19,0.0
2020-09-30,43.61,$-7.79,0.0
2020-06-30,45.54,$-9.38,0.0
2020-03-31,49.99,$-7.85,0.0
2019-12-31,66.36,$-6.77,0.0
2019-09-30,70.95,$-4.30,0.0
2019-06-30,67.54,$-1.60,0.0
2019-03-31,66.27,$1.47,45.22
2018-12-31,60.96,$2.31,26.41
2018-09-30,59.57,$2.24,26.61
2018-06-30,61.03,$3.77,16.21
2018-03-31,56.55,$4.46,12.69
2017-12-31,57.73,$2.82,20.49
2017-09-30,59.59,$3.41,17.48
2017-03-31,51.43,$1.60,32.19
2016-12-31,48.36,$1.40,34.55
2016-09-30,44.52,$1.48,30.04
2016-06-30,47.86,$1.60,29.89
2016-03-31,41.15,$1.28,32.05
2015-12-31,36.93,$1.46,25.34
2017-06-30,54.87,$2.02,27.14
2015-09-30,36.32,$-0.11,0.0
2015-06-30,33.05,$-1.26,0.0
2015-03-31,37.19,$-3.98,0.0
2014-12-31,38.51,$-7.03,0.0
2014-09-30,30.71,$-8.01,0.0
2014-06-30,35.17,$-6.70,0.0
2014-03-31,35.54,$-5.31,0.0
2013-12-31,33.49,$-2.21,0.0
2013-09-30,32.12,$-0.97,0.0
2013-06-30,32.84,$-2.33,0.0
2013-03-31,31.99,$-5.11,0.0
2012-12-31,26.48,$-4.42,0.0
2012-09-30,26.66,$-4.39,0.0
2012-06-30,26.4,$-3.57,0.0
2012-03-31,25.9,$-0.08,0.0
2011-12-31,25.92,$0.07,367.12
2011-09-30,22.36,$-0.18,0.0
2011-06-30,24.75,$-0.30,0.0
2011-03-31,23.25,$-0.30,0.0
2010-12-31,21.97,$-0.59,0.0
2010-09-30,21.22,$-2.33,0.0
2010-06-30,19.7,$-2.58,0.0
2010-03-31,19.04,$-4.07,0.0
2009-12-31,18.32,$-5.61,0.0
