Adtalem Global Education Price to Free Cash Flow Ratio Historical Data,Adtalem Global Education Price to Free Cash Flow Ratio Historical Data,Adtalem Global Education Price to Free Cash Flow Ratio Historical Data,Adtalem Global Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.12,,12.1
2024-06-30,68.21,$6.13,11.14
2024-03-31,51.4,$5.92,8.68
2023-12-31,58.95,$4.48,13.16
2023-09-30,42.85,$3.79,11.3
2023-06-30,34.34,$3.64,9.44
2023-03-31,38.62,$1.82,21.17
2022-12-31,35.5,$0.54,66.21
2022-09-30,36.45,$0.74,49.22
2022-06-30,35.97,$-0.42,0.0
2022-03-31,29.71,$1.29,23.07
2021-12-31,29.56,$1.84,16.03
2021-09-30,37.81,$2.40,15.77
2021-06-30,35.64,$2.95,12.08
2021-03-31,39.54,$2.14,18.49
2020-12-31,33.95,$2.72,12.49
2020-09-30,24.54,$1.84,13.31
2020-06-30,31.15,$1.38,22.62
2020-03-31,26.79,$2.57,10.44
2019-12-31,34.97,$2.13,16.45
2019-09-30,38.09,$2.20,17.32
2019-06-30,45.05,$2.48,18.15
2019-03-31,46.32,$2.36,19.59
2018-12-31,47.32,$2.65,17.88
2018-09-30,48.2,$2.91,16.56
2018-06-30,48.1,$3.09,15.56
2018-03-31,47.55,$2.90,16.37
2017-12-31,42.05,$2.88,14.58
2017-09-30,35.85,$2.81,12.74
2017-06-30,37.95,$2.94,12.89
2017-03-31,35.45,$2.36,15.04
2016-12-31,31.2,$2.60,11.99
2016-09-30,22.92,$2.72,8.44
2016-06-30,17.73,$2.80,6.34
2016-03-31,17.0,$2.19,7.77
2015-12-31,24.91,$1.59,15.71
2015-09-30,26.58,$0.37,72.3
2015-06-30,29.28,$-1.54,0.0
2015-03-31,32.41,$0.99,32.69
2014-12-31,46.11,$-1.09,0.0
2014-06-30,40.98,$2.87,14.27
2014-03-31,40.86,$2.46,16.6
2013-12-31,34.22,$1.49,23.0
2013-09-30,29.32,$2.04,14.4
2013-06-30,29.76,$2.32,12.84
2013-03-31,30.29,$1.45,20.9
2012-12-31,22.64,$2.01,11.25
2012-09-30,21.57,$2.17,9.92
2012-06-30,29.35,$2.25,13.06
2012-03-31,31.92,$2.27,14.05
2011-12-31,36.25,$3.09,11.74
2011-09-30,34.68,$3.69,9.41
2011-06-30,55.49,$3.90,14.23
2011-03-31,51.57,$3.97,13.01
2010-12-31,44.93,$3.87,11.62
2010-09-30,45.96,$3.93,11.69
2010-06-30,49.02,$3.61,13.6
2010-03-31,60.79,$4.40,13.81
2009-12-31,52.89,$3.43,15.4
2009-09-30,51.48,$4.51,11.42
