Chefs' Warehouse Price to Free Cash Flow Ratio Historical Data,Chefs' Warehouse Price to Free Cash Flow Ratio Historical Data,Chefs' Warehouse Price to Free Cash Flow Ratio Historical Data,Chefs' Warehouse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.67,,43.7
2024-06-30,39.11,$0.95,41.02
2024-03-31,37.66,$0.74,51.06
2023-12-31,29.43,$0.09,318.85
2023-09-30,21.18,$-0.92,0.0
2023-06-30,35.76,$-0.77,0.0
2023-03-31,34.05,$-0.77,0.0
2022-12-31,33.28,$-0.59,0.0
2022-09-30,28.97,$-0.40,0.0
2022-06-30,38.89,$-0.78,0.0
2022-03-31,32.6,$-1.30,0.0
2021-12-31,33.3,$-1.60,0.0
2021-09-30,32.57,$-1.46,0.0
2021-06-30,31.83,$-1.16,0.0
2021-03-31,30.46,$0.03,1203.95
2020-12-31,25.69,$1.06,24.17
2020-09-30,14.54,$1.92,7.56
2020-06-30,13.58,$1.84,7.4
2020-03-31,10.07,$1.49,6.76
2019-12-31,38.11,$0.96,39.62
2019-09-30,40.32,$0.42,96.83
2019-06-30,35.07,$0.85,41.43
2019-03-31,31.05,$0.69,44.94
2018-12-31,31.98,$0.85,37.52
2018-09-30,36.35,$1.02,35.51
2018-06-30,28.5,$0.59,48.19
2018-03-31,23.0,$0.80,28.66
2017-12-31,20.5,$0.70,29.3
2017-09-30,19.3,$0.99,19.45
2017-06-30,13.0,$1.62,8.02
2017-03-31,13.9,$0.82,16.88
2016-12-31,15.8,$0.88,18.01
2016-09-30,11.14,$1.09,10.26
2016-06-30,16.0,$1.30,12.31
2016-03-31,20.29,$1.45,13.97
2015-12-31,16.68,$1.22,13.71
2015-09-30,14.16,$0.53,26.54
2015-06-30,21.24,$-0.55,0.0
2015-03-31,22.43,$-0.78,0.0
2014-12-31,23.04,$-0.58,0.0
2014-09-30,16.26,$-1.09,0.0
2014-06-30,19.77,$-1.17,0.0
2014-03-31,21.4,$-0.44,0.0
2013-12-31,29.16,$-0.05,0.0
2013-09-30,23.1,$0.36,63.41
2013-06-30,17.2,$0.82,21.06
2013-03-31,18.47,$0.63,29.34
2012-12-31,15.81,$0.25,63.57
2012-09-30,16.38,$0.86,19.07
2012-06-30,18.05,$1.08,16.75
