Commerce Bancshares Price to Free Cash Flow Ratio Historical Data,Commerce Bancshares Price to Free Cash Flow Ratio Historical Data,Commerce Bancshares Price to Free Cash Flow Ratio Historical Data,Commerce Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,61.11,,15.75
2024-06-30,55.54,$3.88,14.31
2024-03-31,52.71,$3.36,15.68
2023-12-31,52.65,$3.11,16.91
2023-09-30,47.04,$2.84,16.58
2023-06-30,47.48,$3.12,15.21
2023-03-31,56.59,$3.69,15.35
2022-12-31,65.74,$3.77,17.43
2022-09-30,60.63,$3.95,15.36
2022-06-30,59.93,$3.75,16.0
2022-03-31,65.1,$3.48,18.73
2021-12-31,62.27,$4.09,15.22
2021-09-30,59.87,$4.48,13.37
2021-06-30,63.83,$5.09,12.55
2021-03-31,65.36,$5.29,12.35
2020-12-31,55.87,$4.39,12.72
2020-09-30,47.66,$4.15,11.47
2020-06-30,50.13,$3.35,14.97
2020-03-31,42.26,$3.00,14.08
2019-12-31,56.77,$3.41,16.67
2019-09-30,50.47,$3.29,15.36
2019-06-30,49.43,$3.47,14.23
2019-03-31,47.89,$3.71,12.91
2018-12-31,46.3,$3.76,12.33
2018-09-30,54.22,$3.61,15.02
2018-06-30,52.97,$3.38,15.69
2018-03-31,48.87,$2.85,17.13
2017-12-31,45.37,$2.81,16.15
2017-09-30,44.53,$2.95,15.1
2017-06-30,43.62,$2.68,16.31
2017-03-31,42.93,$2.71,15.82
2016-12-31,44.02,$3.12,14.13
2016-09-30,35.57,$2.38,14.95
2016-06-30,34.44,$2.41,14.31
2016-03-31,32.17,$2.58,12.46
2015-12-31,30.29,$1.82,16.6
2015-09-30,30.74,$2.24,13.73
2015-06-30,31.4,$2.09,15.05
2015-03-31,28.27,$1.96,14.4
2014-12-31,28.89,$2.13,13.54
2014-09-30,28.1,$2.17,12.93
2014-06-30,29.13,$2.46,11.83
2014-03-31,28.93,$2.37,12.23
2013-12-31,27.85,$2.21,12.62
2013-09-30,25.87,$2.20,11.75
2013-06-30,25.58,$2.04,12.56
2013-03-31,23.86,$2.11,11.31
2012-12-31,20.37,$2.24,9.11
2012-09-30,22.31,$2.34,9.54
2012-06-30,20.85,$2.50,8.35
2012-03-31,22.15,$2.53,8.77
2011-12-31,20.72,$2.40,8.64
2011-09-30,17.99,$3.42,5.26
2011-06-30,22.12,$4.58,4.83
2011-03-31,20.69,$4.91,4.22
2010-12-31,20.21,$3.96,5.1
2010-09-30,18.21,$2.12,8.59
2010-06-30,17.33,$1.98,8.74
2010-03-31,19.67,$1.78,11.06
2009-12-31,18.41,$1.65,11.16
