Insmed Price to Free Cash Flow Ratio Historical Data,Insmed Price to Free Cash Flow Ratio Historical Data,Insmed Price to Free Cash Flow Ratio Historical Data,Insmed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.27,,0.0
2024-06-30,67.0,$-3.96,0.0
2024-03-31,27.13,$-4.09,0.0
2023-12-31,30.99,$-3.91,0.0
2023-09-30,25.25,$-3.75,0.0
2023-06-30,21.1,$-3.58,0.0
2023-03-31,17.05,$-3.53,0.0
2022-12-31,19.98,$-3.34,0.0
2022-09-30,21.54,$-3.37,0.0
2022-06-30,19.72,$-3.18,0.0
2022-03-31,23.5,$-2.95,0.0
2021-12-31,27.24,$-3.31,0.0
2021-09-30,27.54,$-3.19,0.0
2021-06-30,28.46,$-3.19,0.0
2021-03-31,34.06,$-2.89,0.0
2020-12-31,33.29,$-2.31,0.0
2020-09-30,32.14,$-2.38,0.0
2020-06-30,27.54,$-2.42,0.0
2020-03-31,16.03,$-3.13,0.0
2019-12-31,23.88,$-3.46,0.0
2019-09-30,17.64,$-3.60,0.0
2019-06-30,25.6,$-3.88,0.0
2019-03-31,29.07,$-3.58,0.0
2018-12-31,13.12,$-3.53,0.0
2018-09-30,20.22,$-3.28,0.0
2018-06-30,23.65,$-2.95,0.0
2018-03-31,22.52,$-2.79,0.0
2017-12-31,31.18,$-2.44,0.0
2017-09-30,31.21,$-2.67,0.0
2017-06-30,17.16,$-2.66,0.0
2017-03-31,17.51,$-2.55,0.0
2016-12-31,13.23,$-2.44,0.0
2016-09-30,14.52,$-2.03,0.0
2016-06-30,9.86,$-1.90,0.0
2016-03-31,12.67,$-1.74,0.0
2015-12-31,18.15,$-1.78,0.0
2015-09-30,18.57,$-1.60,0.0
2015-06-30,24.42,$-1.66,0.0
2015-03-31,20.8,$-1.81,0.0
2014-12-31,15.47,$-1.62,0.0
2014-09-30,13.05,$-1.72,0.0
2014-06-30,19.98,$-1.63,0.0
2014-03-31,19.04,$-1.33,0.0
2013-12-31,17.0,$-1.36,0.0
2013-09-30,15.61,$-1.18,0.0
2013-06-30,11.96,$-1.19,0.0
2013-03-31,7.49,$-1.31,0.0
2012-12-31,6.69,$-1.18,0.0
2012-09-30,4.55,$-1.23,0.0
2012-06-30,3.26,$-1.21,0.0
2012-03-31,3.63,$-1.29,0.0
2011-12-31,3.05,$-1.34,0.0
2011-09-30,5.08,$-1.67,0.0
2011-06-30,11.99,$-1.41,0.0
2011-03-31,6.75,$-0.87,0.0
2010-12-31,6.31,$-0.58,0.0
2010-09-30,7.2,$0.14,52.52
2010-06-30,6.73,$0.15,44.75
2010-03-31,11.7,$-0.68,0.0
2009-12-31,7.7,$-0.87,0.0
