Ingersoll Rand Price to Free Cash Flow Ratio Historical Data,Ingersoll Rand Price to Free Cash Flow Ratio Historical Data,Ingersoll Rand Price to Free Cash Flow Ratio Historical Data,Ingersoll Rand Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,91.45,,28.68
2024-06-30,90.82,$3.19,28.48
2024-03-31,94.91,$2.99,31.71
2023-12-31,77.29,$3.13,24.7
2023-09-30,63.66,$2.56,24.87
2023-06-30,65.28,$2.28,28.67
2023-03-31,58.09,$2.18,26.64
2022-12-31,52.15,$1.88,27.75
2022-09-30,43.16,$1.63,26.53
2022-06-30,41.97,$1.33,31.55
2022-03-31,50.19,$1.24,40.34
2021-12-31,61.65,$1.36,45.3
2021-09-30,50.21,$1.58,31.84
2021-06-30,48.62,$1.69,28.7
2021-03-31,49.02,$1.69,29.07
2020-12-31,45.38,$1.60,28.33
2020-09-30,35.46,$0.74,47.98
2020-06-30,28.01,$0.80,34.92
2020-03-31,24.7,$0.74,33.5
2019-12-31,36.54,$0.89,41.04
2019-09-30,28.18,$1.62,17.44
2019-06-30,34.47,$1.56,22.12
2019-03-31,27.7,$1.90,14.56
2018-12-31,20.37,$1.89,10.76
2018-09-30,28.23,$1.84,15.35
2018-06-30,29.28,$1.66,17.62
2018-03-31,30.56,$1.06,28.79
