Forward Air Price to Free Cash Flow Ratio Historical Data,Forward Air Price to Free Cash Flow Ratio Historical Data,Forward Air Price to Free Cash Flow Ratio Historical Data,Forward Air Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.16,,0.0
2024-06-30,19.04,$-1.65,0.0
2024-03-31,31.11,$2.37,13.11
2023-12-31,62.87,$6.62,9.49
2023-09-30,68.49,$6.90,9.92
2023-06-30,105.33,$8.39,12.55
2023-03-31,106.69,$6.93,15.39
2022-12-31,103.61,$5.63,18.39
2022-09-30,88.97,$5.24,16.97
2022-06-30,90.44,$2.98,30.39
2021-12-31,118.5,$3.11,38.11
2021-09-30,81.09,$3.15,25.72
2021-06-30,87.45,$4.01,21.82
2021-03-31,86.34,$4.05,21.3
2020-12-31,74.53,$4.16,17.9
2022-03-31,95.91,$4.33,22.15
2020-09-30,55.5,$3.76,14.77
2020-06-30,48.04,$4.34,11.06
2020-03-31,48.65,$4.17,11.67
2019-12-31,66.98,$4.46,15.03
2019-09-30,60.86,$3.90,15.62
2019-06-30,56.33,$3.71,15.19
2019-03-31,61.45,$3.89,15.81
2018-12-31,51.92,$3.76,13.8
2018-09-30,67.68,$3.00,22.55
2018-06-30,55.63,$2.49,22.34
2018-03-31,49.65,$2.28,21.78
2017-12-31,53.81,$2.25,23.87
2017-09-30,53.46,$3.62,14.77
2017-06-30,49.63,$3.44,14.45
2017-03-31,44.18,$4.13,10.7
2016-12-31,43.86,$3.18,13.78
2016-06-30,40.99,$2.81,14.59
2016-03-31,41.6,$2.56,16.24
2015-12-31,39.37,$1.51,26.03
2015-09-30,37.88,$1.78,21.3
2015-06-30,47.59,$1.51,31.58
2015-03-31,49.34,$2.12,23.25
2016-09-30,39.92,$2.21,18.04
2014-12-31,45.66,$1.74,26.22
2014-09-30,40.54,$1.89,21.46
2014-06-30,43.16,$1.73,24.96
2014-03-31,41.48,$1.60,25.93
2013-12-31,39.39,$1.87,21.12
2013-09-30,36.09,$1.68,21.43
2013-06-30,34.17,$1.75,19.52
2013-03-31,33.2,$1.74,19.06
2012-12-31,31.08,$1.63,19.07
2012-09-30,26.92,$1.61,16.69
2012-06-30,28.48,$1.56,18.3
2012-03-31,32.29,$1.83,17.63
2011-12-31,28.16,$1.94,14.54
2011-09-30,22.31,$1.65,13.54
2011-06-30,29.54,$1.63,18.12
2011-03-31,26.72,$1.50,17.83
2010-12-31,24.7,$1.39,17.83
2010-09-30,22.57,$1.54,14.62
2010-06-30,23.59,$1.14,20.61
2010-03-31,22.71,$0.78,29.27
2009-12-31,21.55,$1.02,21.11
