Beam Therapeutics Price to Free Cash Flow Ratio Historical Data,Beam Therapeutics Price to Free Cash Flow Ratio Historical Data,Beam Therapeutics Price to Free Cash Flow Ratio Historical Data,Beam Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.35,,0.0
2024-06-30,23.43,$-1.81,0.0
2024-03-31,33.04,$-2.02,0.0
2023-12-31,27.22,$-2.37,0.0
2023-09-30,24.05,$-5.08,0.0
2023-06-30,31.93,$-5.17,0.0
2023-03-31,30.62,$-5.05,0.0
2022-12-31,39.11,$-0.38,0.0
2022-09-30,47.64,$0.49,96.34
2022-06-30,38.71,$1.78,21.71
2022-03-31,57.3,$2.15,26.71
2021-12-31,79.69,$-1.76,0.0
2021-09-30,87.01,$-2.34,0.0
2021-06-30,128.71,$-2.86,0.0
2021-03-31,80.04,$-2.24,0.0
2020-12-31,81.64,$-2.40,0.0
