Marcus & Millichap Price to Free Cash Flow Ratio Historical Data,Marcus & Millichap Price to Free Cash Flow Ratio Historical Data,Marcus & Millichap Price to Free Cash Flow Ratio Historical Data,Marcus & Millichap Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.93,,0.0
2024-06-30,31.33,$-0.92,0.0
2024-03-31,33.96,$-0.86,0.0
2023-12-31,43.09,$-2.12,0.0
2023-09-30,28.95,$-1.91,0.0
2023-06-30,30.84,$-1.14,0.0
2023-03-31,31.43,$-0.89,0.0
2022-12-31,33.45,$0.05,685.52
2022-09-30,31.83,$3.32,9.58
2022-06-30,35.68,$4.02,8.87
2022-03-31,50.82,$5.01,10.14
2021-12-31,48.31,$6.20,7.8
2021-09-30,38.13,$4.00,9.53
2021-06-30,36.49,$2.96,12.32
2021-03-31,31.64,$1.65,19.2
2020-12-31,34.95,$0.78,44.59
2020-09-30,25.84,$-0.11,0.0
2020-06-30,27.09,$-0.27,0.0
2020-03-31,25.44,$-3.75,0.0
2019-12-31,34.97,$-0.86,0.0
2019-09-30,33.32,$-0.84,0.0
2019-06-30,28.96,$-0.36,0.0
2018-12-31,32.23,$2.77,11.62
2018-09-30,32.59,$3.83,8.51
2018-06-30,36.62,$2.05,17.84
2018-03-31,33.85,$1.76,19.21
2017-12-31,30.61,$3.04,10.08
2019-03-31,38.24,$-0.50,0.0
2017-09-30,25.34,$1.30,19.43
2017-06-30,24.75,$1.39,17.85
2017-03-31,23.08,$1.23,18.73
2016-12-31,25.08,$1.67,15.05
2016-09-30,24.55,$1.66,14.79
2016-06-30,23.85,$1.37,17.41
2016-03-31,23.84,$1.60,14.86
2015-12-31,27.36,$1.67,16.4
2015-09-30,43.17,$1.81,23.87
2015-06-30,43.32,$2.15,20.11
2015-03-31,35.19,$1.74,20.26
2014-12-31,31.21,$1.77,17.67
2014-09-30,28.41,$0.85,33.5
