Kornit Digital Price to Free Cash Flow Ratio Historical Data,Kornit Digital Price to Free Cash Flow Ratio Historical Data,Kornit Digital Price to Free Cash Flow Ratio Historical Data,Kornit Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.68,,0.0
2024-06-30,14.64,$-0.03,0.0
2024-03-31,18.12,$-0.44,0.0
2023-12-31,19.16,$-0.85,0.0
2023-09-30,18.91,$-1.80,0.0
2023-06-30,29.37,$-1.77,0.0
2023-03-31,19.36,$-1.60,0.0
2022-12-31,22.97,$-2.36,0.0
2022-09-30,26.61,$-1.34,0.0
2022-06-30,31.7,$-0.58,0.0
2022-03-31,82.69,$-0.35,0.0
2021-12-31,152.25,$0.81,188.92
2021-09-30,144.74,$1.45,100.15
2021-06-30,124.33,$1.30,95.51
2021-03-31,99.12,$0.91,108.85
2020-12-31,89.13,$0.45,199.17
2020-09-30,64.87,$0.04,1853.43
2020-06-30,53.38,$-0.45,0.0
2020-03-31,24.89,$-0.26,0.0
2019-12-31,34.23,$0.14,240.55
2019-09-30,30.78,$0.19,161.66
2019-06-30,31.66,$0.42,74.69
2019-03-31,23.8,$0.69,34.33
2018-12-31,18.72,$0.74,25.39
2018-09-30,21.9,$0.67,32.87
2018-06-30,17.8,$0.36,50.06
2018-03-31,12.9,$-0.00,0.0
2017-12-31,16.15,$0.01,1615.0
2017-09-30,15.3,$-0.16,0.0
2017-06-30,19.35,$-0.06,0.0
2017-03-31,19.1,$0.03,573.57
2016-12-31,12.65,$-0.14,0.0
2016-09-30,9.38,$0.58,16.13
2016-06-30,9.76,$-0.44,0.0
2016-03-31,9.95,$-0.25,0.0
