Tencent Music Entertainment Group Price to Free Cash Flow Ratio Historical Data,Tencent Music Entertainment Group Price to Free Cash Flow Ratio Historical Data,Tencent Music Entertainment Group Price to Free Cash Flow Ratio Historical Data,Tencent Music Entertainment Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.64,,14.68
2024-06-30,14.05,$0.79,17.72
2024-03-31,11.19,$0.71,15.82
2023-12-31,9.01,$0.64,14.08
2023-09-30,6.38,$0.71,9.04
2023-06-30,7.38,$0.68,10.91
2023-03-31,8.28,$0.61,13.52
2022-12-31,8.28,$0.68,12.18
2022-09-30,4.06,$0.49,8.21
2022-06-30,5.02,$0.55,9.08
2022-03-31,4.87,$0.54,9.06
2021-12-31,6.85,$0.47,14.63
2021-09-30,7.25,$0.56,12.98
2021-06-30,15.48,$0.47,33.26
2021-03-31,20.49,$0.49,41.77
2020-12-31,19.24,$0.41,46.7
2020-09-30,14.77,$0.45,32.5
2020-06-30,13.46,$0.21,62.96
2020-03-31,10.06,$0.39,26.12
2019-12-31,11.74,$0.46,25.67
2019-09-30,12.77,$0.35,36.49
