LGI Homes Price to Free Cash Flow Ratio Historical Data,LGI Homes Price to Free Cash Flow Ratio Historical Data,LGI Homes Price to Free Cash Flow Ratio Historical Data,LGI Homes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,113.36,,0.0
2024-06-30,89.49,$-14.20,0.0
2024-03-31,116.37,$-9.87,0.0
2023-12-31,133.16,$-2.47,0.0
2023-09-30,99.49,$-1.30,0.0
2023-06-30,134.89,$-0.61,0.0
2023-03-31,114.03,$-6.64,0.0
2022-12-31,92.6,$-15.66,0.0
2022-09-30,81.37,$-18.56,0.0
2022-06-30,86.9,$-15.86,0.0
2022-03-31,97.68,$-11.25,0.0
2021-12-31,154.48,$0.80,192.67
2021-09-30,141.91,$7.44,19.08
2021-06-30,161.94,$7.61,21.28
2021-03-31,149.31,$11.90,12.55
2020-12-31,105.85,$7.86,13.47
2020-09-30,116.17,$6.85,16.95
2020-06-30,88.03,$4.87,18.09
2020-03-31,45.15,$1.93,23.34
2019-12-31,70.65,$-1.68,0.0
2019-09-30,83.32,$-4.70,0.0
2019-06-30,71.43,$-1.62,0.0
2019-03-31,60.24,$-1.56,0.0
2018-12-31,45.22,$-4.71,0.0
2018-09-30,47.44,$-3.97,0.0
2018-06-30,57.73,$-3.80,0.0
2018-03-31,70.57,$-5.29,0.0
2017-12-31,75.03,$-2.88,0.0
2017-09-30,48.57,$-4.99,0.0
2017-06-30,40.18,$-6.25,0.0
2017-03-31,33.91,$-6.50,0.0
2016-12-31,28.73,$-4.94,0.0
2016-09-30,36.84,$-5.89,0.0
2016-06-30,31.94,$-5.67,0.0
2016-03-31,24.21,$-4.44,0.0
2015-12-31,24.33,$-4.15,0.0
2015-09-30,27.19,$-3.22,0.0
2015-06-30,19.78,$-5.07,0.0
2015-03-31,16.66,$-6.46,0.0
2014-12-31,14.92,$-8.23,0.0
2014-09-30,18.36,$-8.89,0.0
