Wyndham Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Wyndham Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Wyndham Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Wyndham Hotels & Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,82.72,,28.47
2024-06-30,73.64,$2.91,25.35
2024-03-31,75.98,$3.85,19.75
2023-12-31,79.22,$3.99,19.84
2023-09-30,68.2,$3.06,22.31
2023-06-30,66.94,$3.38,19.83
2023-03-31,65.91,$3.59,18.37
2022-12-31,68.93,$3.96,17.38
2022-09-30,59.04,$4.48,13.17
2022-06-30,62.93,$4.84,13.0
2022-03-31,80.73,$4.85,16.63
2021-12-31,85.14,$4.14,20.55
2021-09-30,73.01,$3.23,22.6
2021-06-30,68.15,$2.72,25.08
2021-03-31,65.65,$0.89,74.05
2020-12-31,55.79,$0.36,153.28
2020-09-30,47.33,$1.15,41.1
2020-06-30,39.89,$1.56,25.58
2020-03-31,29.44,$0.64,45.68
2019-12-31,58.16,$0.52,112.37
2019-09-30,47.68,$0.85,55.85
2019-06-30,51.09,$-0.08,0.0
2019-03-31,45.58,$1.56,29.17
