NETSTREIT Price to Free Cash Flow Ratio Historical Data,NETSTREIT Price to Free Cash Flow Ratio Historical Data,NETSTREIT Price to Free Cash Flow Ratio Historical Data,NETSTREIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.57,,0.0
2024-06-30,16.1,$-4.58,0.0
2024-03-31,18.37,$-4.98,0.0
2023-12-31,17.85,$-4.65,0.0
2023-09-30,15.58,$-5.01,0.0
2023-06-30,17.87,$-5.81,0.0
2023-03-31,18.28,$-6.22,0.0
2022-12-31,18.33,$-7.38,0.0
2022-09-30,17.81,$-9.92,0.0
2022-06-30,18.68,$-9.16,0.0
2022-03-31,22.0,$-9.32,0.0
2021-12-31,22.25,$-10.33,0.0
2021-09-30,22.76,$10.86,2.1
2021-06-30,22.02,$-4.43,0.0
