ICF Price to Free Cash Flow Ratio Historical Data,ICF Price to Free Cash Flow Ratio Historical Data,ICF Price to Free Cash Flow Ratio Historical Data,ICF Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,175.05,,52.07
2024-06-30,148.33,$3.36,44.12
2023-12-31,133.72,$6.85,19.53
2023-09-30,120.35,$9.50,12.67
2023-06-30,123.79,$7.59,16.3
2023-03-31,109.04,$5.69,19.17
2022-12-31,98.33,$7.38,13.32
2024-03-31,150.35,$-1.37,0.0
2022-09-30,108.08,$1.40,77.06
2022-06-30,94.05,$4.54,20.73
2022-03-31,93.07,$3.94,23.63
2021-12-31,101.23,$4.72,21.45
2021-09-30,88.03,$6.57,13.4
2021-06-30,86.48,$7.97,10.85
2021-03-31,85.9,$9.23,9.3
2020-12-31,72.94,$8.12,8.98
2020-09-30,60.27,$8.41,7.16
2020-06-30,63.37,$6.72,9.44
2020-03-31,67.0,$3.37,19.89
2019-12-31,89.17,$3.36,26.56
2019-09-30,82.08,$2.26,36.35
2019-06-30,70.61,$1.09,64.82
2019-03-31,73.65,$2.16,34.13
2018-12-31,62.6,$2.73,22.9
2018-09-30,72.76,$1.82,40.08
2018-06-30,68.4,$3.16,21.63
2018-03-31,56.16,$4.68,12.0
2017-12-31,50.32,$5.34,9.43
2017-09-30,51.71,$4.22,12.24
2017-06-30,45.14,$3.56,12.69
2017-03-31,39.58,$4.51,8.78
2016-12-31,52.91,$3.41,15.5
2016-09-30,42.48,$3.98,10.68
2016-06-30,39.2,$3.68,10.65
2016-03-31,32.94,$3.63,9.07
2015-12-31,34.08,$3.23,10.55
2015-09-30,29.13,$4.67,6.24
2015-06-30,33.41,$4.18,7.99
2015-03-31,39.15,$2.99,13.12
2014-12-31,39.28,$3.43,11.46
2014-09-30,29.51,$2.06,14.36
2014-06-30,33.89,$1.47,23.11
2014-03-31,38.16,$2.06,18.56
2013-12-31,33.27,$3.42,9.74
2013-09-30,33.94,$2.68,12.68
2013-06-30,30.2,$3.86,7.83
2013-03-31,26.07,$3.94,6.62
2012-12-31,22.47,$3.72,6.04
2012-09-30,19.27,$3.32,5.8
2012-06-30,22.85,$2.23,10.27
2012-03-31,24.32,$2.13,11.42
2011-12-31,23.75,$2.47,9.6
2011-09-30,18.03,$2.62,6.89
2011-06-30,24.33,$2.92,8.32
2011-03-31,19.69,$2.96,6.65
2010-12-31,24.65,$3.08,8.0
2010-09-30,24.04,$2.96,8.12
2010-06-30,22.94,$2.89,7.94
2010-03-31,23.81,$2.66,8.95
2009-12-31,25.69,$2.52,10.21
