LTC Properties Price to Free Cash Flow Ratio Historical Data,LTC Properties Price to Free Cash Flow Ratio Historical Data,LTC Properties Price to Free Cash Flow Ratio Historical Data,LTC Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.26,,14.59
2024-06-30,33.96,$2.48,13.67
2024-03-31,31.46,$1.31,24.09
2023-12-31,30.54,$1.23,24.79
2023-09-30,30.02,$1.44,20.79
2023-06-30,30.32,$1.26,24.02
2023-03-31,31.71,$1.04,30.35
2022-12-31,31.56,$1.11,28.31
2022-09-30,32.77,$0.92,35.73
2022-06-30,33.13,$0.82,40.4
2022-03-31,32.7,$2.10,15.59
2021-12-31,28.55,$2.17,13.17
2021-09-30,26.06,$2.26,11.51
2021-06-30,31.07,$2.47,12.59
2021-03-31,33.29,$2.42,13.77
2020-12-31,30.62,$2.01,15.24
2020-09-30,27.02,$1.56,17.35
2020-06-30,28.74,$0.96,29.8
2020-03-31,23.2,$1.04,22.26
2019-12-31,33.11,$1.02,32.35
2019-09-30,37.44,$1.40,26.71
2019-06-30,32.98,$1.48,22.29
2019-03-31,32.67,$0.69,47.15
2018-12-31,29.36,$0.92,31.96
2018-09-30,30.67,$0.18,169.07
2018-06-30,29.33,$0.63,46.64
2018-03-31,25.7,$-0.18,0.0
2017-12-31,29.03,$-0.07,0.0
2017-09-30,30.93,$0.54,57.06
2017-06-30,33.44,$0.30,112.41
2017-03-31,30.81,$0.30,102.78
2016-12-31,29.85,$-0.48,0.0
2016-09-30,32.64,$-1.32,0.0
2016-06-30,32.14,$-5.35,0.0
2016-03-31,27.79,$-3.89,0.0
2015-12-31,26.18,$-3.68,0.0
2015-09-30,25.56,$-3.16,0.0
2015-06-30,24.63,$0.92,26.66
2015-03-31,26.91,$0.67,39.92
2014-12-31,24.98,$0.98,25.41
2014-09-30,21.08,$1.01,20.85
2014-06-30,22.02,$0.84,26.12
2014-03-31,20.95,$0.93,22.48
2013-12-31,19.43,$1.13,17.18
2013-09-30,20.57,$-1.46,0.0
2013-06-30,20.9,$-3.08,0.0
2013-03-31,21.57,$-2.90,0.0
2012-12-31,18.41,$-3.34,0.0
2012-09-30,16.43,$-1.29,0.0
2012-06-30,18.47,$0.18,100.57
2012-03-31,16.07,$0.40,40.3
2011-12-31,15.29,$-0.99,0.0
2011-09-30,12.36,$-2.23,0.0
2011-06-30,13.36,$-1.70,0.0
2011-03-31,13.41,$-2.77,0.0
2010-12-31,13.09,$-1.43,0.0
2010-09-30,11.72,$0.27,43.09
2010-06-30,10.9,$0.28,38.45
2010-03-31,11.98,$1.19,10.08
2009-12-31,11.67,$1.87,6.24
