Fox Price to Free Cash Flow Ratio Historical Data,Fox Price to Free Cash Flow Ratio Historical Data,Fox Price to Free Cash Flow Ratio Historical Data,Fox Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,38.43,,12.34
2024-06-30,32.02,$3.11,10.28
2024-03-31,28.62,$2.15,13.29
2023-12-31,27.65,$2.06,13.43
2023-09-30,28.88,$2.22,13.0
2023-06-30,31.89,$2.72,11.74
2023-03-31,31.31,$3.48,9.0
2022-12-31,28.45,$3.36,8.47
2022-09-30,28.5,$3.16,9.01
2022-06-30,29.47,$2.77,10.65
2022-03-31,36.0,$2.38,15.14
2021-12-31,33.79,$2.27,14.86
2021-09-30,36.6,$3.33,10.98
2021-06-30,34.46,$3.62,9.52
2021-03-31,34.2,$3.96,8.64
2020-12-31,28.11,$3.84,7.32
2020-09-30,27.22,$3.24,8.39
2020-06-30,25.9,$3.26,7.95
2020-03-31,22.08,$3.19,6.92
2019-12-31,34.87,$3.18,10.97
2019-09-30,30.21,$3.62,8.35
2019-06-30,34.75,$3.69,9.43
2019-03-31,33.92,$1.35,25.08
2018-12-31,45.17,$-0.08,0.0
2018-09-30,43.32,$0.33,131.22
2018-06-30,46.58,0,0.0
