LeMaitre Vascular Price to Free Cash Flow Ratio Historical Data,LeMaitre Vascular Price to Free Cash Flow Ratio Historical Data,LeMaitre Vascular Price to Free Cash Flow Ratio Historical Data,LeMaitre Vascular Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,89.69,,63.75
2024-06-30,82.12,$1.41,58.38
2024-03-31,66.1,$1.47,44.89
2023-12-31,56.4,$1.32,42.89
2023-09-30,53.99,$1.06,51.03
2023-06-30,66.51,$0.89,74.97
2023-03-31,50.77,$0.86,59.34
2022-12-31,45.26,$1.04,43.62
2022-09-30,49.71,$1.10,45.09
2022-06-30,44.57,$1.33,33.63
2022-03-31,45.34,$1.36,33.45
2021-12-31,48.88,$1.41,34.73
2021-09-30,51.55,$1.81,28.54
2021-06-30,59.13,$2.03,29.07
2021-03-31,47.16,$1.88,25.12
2020-12-31,39.06,$1.65,23.64
2020-09-30,31.3,$1.23,25.48
2020-06-30,25.32,$0.65,38.74
2020-03-31,23.81,$0.58,41.13
2019-12-31,34.24,$0.51,66.81
2019-09-30,32.48,$0.57,57.2
2019-06-30,26.51,$0.57,46.56
2019-03-31,29.28,$0.60,49.0
2018-12-31,22.27,$0.81,27.4
2018-09-30,36.4,$0.81,44.94
2018-06-30,31.4,$0.91,34.38
2018-03-31,33.91,$0.95,35.84
2017-12-31,29.74,$0.82,36.22
2017-09-30,34.9,$0.73,47.97
2017-06-30,29.07,$0.74,39.52
2017-03-31,22.89,$0.74,30.86
2016-12-31,23.5,$0.73,32.16
2016-09-30,18.36,$0.74,24.71
2016-06-30,13.17,$0.63,20.92
2016-03-31,14.28,$0.58,24.56
2015-12-31,15.82,$0.50,31.57
2015-09-30,11.15,$0.46,24.15
2015-06-30,11.0,$0.43,25.46
2015-03-31,7.61,$0.34,22.44
2014-12-31,6.92,$0.26,27.11
2014-09-30,6.19,$0.18,33.73
2014-06-30,7.41,$0.16,46.93
2014-03-31,7.19,$0.10,73.71
2013-12-31,7.11,$0.17,42.22
2013-09-30,5.93,$0.10,58.72
2013-06-30,5.76,$0.08,72.07
2013-03-31,5.43,$0.15,35.74
2012-12-31,5.0,$0.22,22.28
2012-09-30,5.58,$0.17,33.29
2012-06-30,5.19,$0.17,30.78
2012-03-31,5.07,$0.26,19.37
2011-12-31,5.07,$0.07,70.56
2011-09-30,5.31,$0.11,49.13
2011-06-30,6.02,$0.13,46.98
2011-03-31,5.78,$0.07,85.77
2010-12-31,5.73,$0.28,20.15
2010-09-30,5.97,$0.42,14.12
2010-06-30,4.74,$0.48,9.95
2010-03-31,3.81,$0.49,7.74
2009-12-31,4.23,$0.31,13.85
