Boeing Price to Free Cash Flow Ratio Historical Data,Boeing Price to Free Cash Flow Ratio Historical Data,Boeing Price to Free Cash Flow Ratio Historical Data,Boeing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,173.74,,0.0
2024-06-30,182.01,$-8.97,0.0
2024-03-31,192.99,$2.27,85.15
2023-12-31,260.66,$7.36,35.41
2023-09-30,191.68,$7.76,24.69
2023-06-30,211.16,$13.15,16.06
2023-03-31,212.43,$8.63,24.63
2022-12-31,190.49,$3.91,48.74
2022-09-30,121.08,$-0.31,0.0
2022-06-30,136.72,$-5.50,0.0
2022-03-31,191.5,$-6.31,0.0
2021-12-31,201.32,$-6.58,0.0
2021-09-30,219.94,$-15.02,0.0
2021-06-30,239.56,$-23.36,0.0
2021-03-31,254.72,$-32.17,0.0
2020-12-31,214.06,$-34.15,0.0
2020-09-30,165.26,$-31.52,0.0
2020-06-30,183.3,$-27.96,0.0
2020-03-31,149.14,$-19.43,0.0
2019-12-31,323.82,$-6.98,0.0
2019-09-30,376.04,$1.77,212.7
2019-06-30,357.59,$14.23,25.14
2019-03-31,372.53,$22.98,16.21
2018-12-31,313.39,$23.43,13.37
2018-09-30,359.74,$23.47,15.33
2018-06-30,322.93,$21.10,15.3
2018-03-31,314.03,$21.18,14.83
2017-12-31,280.99,$19.18,14.65
2017-09-30,240.91,$18.48,13.04
2017-06-30,186.28,$17.64,10.56
2017-03-31,165.32,$14.16,11.68
2016-12-31,144.27,$12.32,11.71
2016-09-30,121.15,$12.52,9.68
2016-06-30,118.46,$11.76,10.08
2016-03-31,114.84,$11.50,9.99
2015-12-31,129.6,$10.01,12.95
2015-09-30,116.66,$12.32,9.47
2015-06-30,122.81,$9.40,13.06
2015-03-31,132.01,$7.52,17.56
2014-12-31,113.63,$9.03,12.58
2014-09-30,110.71,$4.14,26.72
2014-06-30,109.9,$6.71,16.37
2014-03-31,107.79,$8.78,12.28
2013-12-31,116.58,$7.99,14.59
2013-09-30,100.0,$11.94,8.38
2013-06-30,86.78,$10.43,8.32
2013-03-31,72.36,$7.25,9.98
2012-12-31,63.11,$7.75,8.14
2012-09-30,57.91,$6.03,9.6
2012-06-30,61.46,$4.63,13.28
2012-03-31,61.15,$5.56,10.99
2011-12-31,59.97,$3.20,18.72
2011-09-30,49.16,$1.00,49.16
2011-06-30,59.63,$3.01,19.81
2011-03-31,59.31,$1.37,43.24
2010-12-31,52.05,$2.55,20.41
2010-09-30,52.75,$5.72,9.23
2010-06-30,49.45,$4.96,9.98
2010-03-31,56.88,$5.91,9.62
2009-12-31,42.12,$6.23,6.76
