Mitsubishi UFJ Financial Price to Free Cash Flow Ratio Historical Data,Mitsubishi UFJ Financial Price to Free Cash Flow Ratio Historical Data,Mitsubishi UFJ Financial Price to Free Cash Flow Ratio Historical Data,Mitsubishi UFJ Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.84,,inf
2024-06-30,10.8,0,0.0
2023-06-30,7.17,0,0.0
2022-06-30,4.97,0,0.0
2021-06-30,4.89,0,0.0
2020-06-30,3.37,0,0.0
2019-06-30,3.87,0,0.0
2018-06-30,4.52,0,0.0
2017-06-30,5.33,0,0.0
2016-06-30,3.4,0,0.0
2015-06-30,5.38,$-0.30,0.0
2014-06-30,4.58,$-0.30,0.0
2013-06-30,4.58,$-0.30,0.0
2013-03-31,4.43,$-0.30,0.0
2012-12-31,3.95,$0.41,9.63
2012-09-30,3.39,$0.41,8.27
2012-06-30,3.41,$0.41,8.32
2012-03-31,3.58,$0.41,8.72
2011-12-31,2.97,$8.65,0.34
2011-09-30,3.15,$8.65,0.36
2011-06-30,3.37,$8.65,0.39
2011-03-31,3.21,$19.70,0.16
2010-09-30,3.19,$11.04,0.29
2010-06-30,3.1,$11.04,0.28
2010-03-31,3.55,$11.04,0.32
2009-12-31,3.3,$-1.21,0.0
2009-09-30,3.58,$-1.21,0.0
