JinkoSolar Holding Price to Free Cash Flow Ratio Historical Data,JinkoSolar Holding Price to Free Cash Flow Ratio Historical Data,JinkoSolar Holding Price to Free Cash Flow Ratio Historical Data,JinkoSolar Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.87,,0.0
2024-06-30,19.22,$-2.47,0.0
2024-03-31,23.37,$-2.47,0.0
2023-12-31,34.27,$-2.47,0.0
2023-09-30,27.02,$-50.17,0.0
2023-06-30,39.48,$-50.17,0.0
2023-03-31,45.39,$-50.17,0.0
2022-12-31,36.37,$-50.17,0.0
2022-09-30,49.27,$-25.03,0.0
2022-06-30,61.54,$-25.03,0.0
2022-03-31,42.96,$-25.03,0.0
2021-12-31,40.88,$-25.03,0.0
2021-09-30,40.75,$1.14,35.84
2021-06-30,49.83,$-12.07,0.0
2021-03-31,37.09,$-12.07,0.0
2020-12-31,55.04,$-12.07,0.0
2020-09-30,35.37,$-19.02,0.0
2020-06-30,15.75,$-5.81,0.0
2020-03-31,13.21,$-5.81,0.0
2019-12-31,20.01,$-5.81,0.0
2019-09-30,14.19,$-6.28,0.0
2019-06-30,19.29,$-6.28,0.0
2019-03-31,16.01,$-6.28,0.0
2018-12-31,8.8,$-6.28,0.0
2018-09-30,9.58,$-10.77,0.0
2018-06-30,12.25,$-10.77,0.0
2018-03-31,16.23,$-10.77,0.0
2017-12-31,21.39,$-10.77,0.0
2017-09-30,22.19,$-16.63,0.0
2017-06-30,18.5,$-16.63,0.0
2017-03-31,14.74,$-16.63,0.0
2016-12-31,13.55,$-16.63,0.0
2016-09-30,14.06,$2.35,5.99
2016-06-30,18.13,$2.35,7.73
2016-03-31,18.6,$2.35,7.93
2015-12-31,24.61,$2.35,10.49
2015-09-30,19.52,$-1.26,0.0
2015-06-30,26.26,$-1.26,0.0
2015-03-31,22.81,$-8.37,0.0
2014-12-31,17.53,$-8.37,0.0
2011-03-31,24.02,$-7.11,0.0
2010-12-31,17.9,$-7.11,0.0
2010-09-30,28.12,0,0.0
2010-06-30,8.63,$-19.80,0.0
2012-06-30,3.06,$-19.80,0.0
2012-03-31,5.43,$-19.80,0.0
2011-12-31,4.45,$-19.80,0.0
2011-09-30,4.32,0,0.0
2011-06-30,23.59,0,0.0
2014-09-30,24.45,$0.06,408.25
2014-06-30,26.84,$0.95,28.11
2014-03-31,24.86,$0.95,26.04
2013-12-31,26.06,$0.95,27.3
2013-09-30,20.06,$4.94,4.06
2013-06-30,8.04,$4.05,1.99
