Shinhan Financial Group Co Price to Free Cash Flow Ratio Historical Data,Shinhan Financial Group Co Price to Free Cash Flow Ratio Historical Data,Shinhan Financial Group Co Price to Free Cash Flow Ratio Historical Data,Shinhan Financial Group Co Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.56,,0.0
2024-06-30,34.81,$-24.51,0.0
2024-03-31,35.09,$-7.23,0.0
2023-12-31,29.79,$0.44,67.94
2023-09-30,25.64,$20.44,1.25
2023-06-30,24.85,$25.76,0.96
2023-03-31,25.3,$14.49,1.75
2022-12-31,25.85,$9.71,2.66
2022-09-30,20.8,$0.70,29.6
2022-06-30,25.53,$13.62,1.87
2022-03-31,29.58,$12.52,2.36
2021-12-31,27.1,$18.14,1.49
2021-09-30,28.47,$8.97,3.17
2021-06-30,30.11,$-1.57,0.0
2021-03-31,27.97,$-0.15,0.0
2020-12-31,24.82,$-7.10,0.0
2020-09-30,18.33,$-4.65,0.0
2020-06-30,19.2,$5.22,3.68
2020-03-31,18.6,$7.10,2.62
2019-12-31,30.38,$11.67,2.6
2019-09-30,26.85,$4.16,6.46
2019-06-30,29.83,$-0.70,0.0
2019-03-31,28.51,$-6.62,0.0
2018-12-31,27.23,$-12.34,0.0
2018-09-30,29.64,$2.78,10.64
2018-06-30,28.42,$-0.80,0.0
2018-03-31,31.32,$-1.06,0.0
2017-12-31,34.27,$1.64,20.93
2017-09-30,31.8,$-0.09,0.0
2017-06-30,31.22,$1.79,17.44
2017-03-31,29.99,$9.00,3.33
2016-12-31,27.02,$6.74,4.01
2016-09-30,25.32,$8.13,3.11
2016-06-30,22.75,$10.45,2.18
2016-03-31,24.47,$9.39,2.61
2015-12-31,23.34,$5.33,4.38
2015-09-30,23.48,$-61.87,0.0
2015-06-30,25.0,$-68.44,0.0
2015-03-31,25.17,$-68.81,0.0
2014-12-31,27.25,$-68.13,0.0
2014-09-30,30.67,$-2.07,0.0
2014-06-30,30.94,$3.68,8.42
2014-03-31,29.65,$2.90,10.23
2013-12-31,30.83,$-2.85,0.0
2013-09-30,27.04,$-10.12,0.0
2013-06-30,21.72,$-13.41,0.0
2013-03-31,23.97,$-15.97,0.0
2012-12-31,24.47,0,0.0
2012-09-30,22.13,$-3.17,0.0
2012-06-30,23.4,$7.50,3.12
2012-03-31,25.41,$-2.00,0.0
2011-12-31,22.48,$2.10,10.68
2011-09-30,22.23,$-2.09,0.0
2011-06-30,31.16,$-12.55,0.0
2011-03-31,29.41,$-1.94,0.0
2010-12-31,30.47,$-11.72,0.0
2010-09-30,24.63,0,0.0
