Stewart Information Services Price to Free Cash Flow Ratio Historical Data,Stewart Information Services Price to Free Cash Flow Ratio Historical Data,Stewart Information Services Price to Free Cash Flow Ratio Historical Data,Stewart Information Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,71.25,,38.89
2024-06-30,61.67,$1.83,33.66
2024-03-31,64.14,$2.47,26.02
2023-12-31,57.46,$1.68,34.15
2023-09-30,42.48,$0.96,44.29
2023-06-30,39.5,$0.74,53.61
2023-03-31,38.33,$2.23,17.18
2022-12-31,40.11,$5.29,7.59
2022-09-30,40.56,$9.27,4.37
2022-06-30,45.81,$11.37,4.03
2022-03-31,55.39,$12.60,4.4
2021-12-31,72.44,$13.29,5.45
2021-09-30,57.19,$14.20,4.03
2021-06-30,50.97,$13.99,3.64
2021-03-31,46.52,$12.70,3.66
2020-12-31,42.98,$10.48,4.1
2020-09-30,38.62,$7.49,5.16
2020-06-30,28.52,$8.85,3.22
2020-03-31,23.18,$7.47,3.1
2019-12-31,35.13,$6.34,5.54
2019-09-30,33.17,$5.63,5.89
2019-06-30,34.33,$2.35,14.61
2019-03-31,35.93,$2.62,13.74
2018-12-31,34.6,$3.11,11.14
2018-09-30,37.35,$3.88,9.62
2018-06-30,35.5,$3.67,9.67
2018-03-31,35.97,$3.64,9.88
2017-12-31,34.38,$3.91,8.8
2017-09-30,30.47,$3.87,7.87
2017-06-30,36.31,$4.50,8.06
2017-03-31,35.12,$5.04,6.96
2016-12-31,36.37,$4.49,8.09
2016-09-30,34.84,$2.65,13.12
2016-06-30,32.24,$3.32,9.71
2016-03-31,28.03,$2.49,11.24
2015-12-31,28.57,$2.76,10.34
2015-09-30,31.08,$4.19,7.42
2015-06-30,30.04,$3.33,9.03
2015-03-31,30.48,$3.00,10.16
2014-12-31,27.78,$1.94,14.31
2014-09-30,21.95,$3.27,6.71
2014-06-30,23.19,$1.27,18.3
2014-03-31,26.27,$3.02,8.7
2013-12-31,24.13,$6.80,3.55
2013-03-31,18.99,$5.21,3.65
2012-12-31,19.38,$4.45,4.36
2012-09-30,14.96,$0.83,17.96
2012-06-30,11.4,$1.63,7.01
2012-03-31,10.55,$-0.10,0.0
2011-12-31,8.58,$2.58,3.33
2013-06-30,19.52,$1.42,13.74
2011-09-30,6.54,$0.65,10.07
2011-06-30,7.42,$0.90,8.2
2011-03-31,7.75,$-1.15,0.0
2010-12-31,8.52,$1.71,4.99
2010-09-30,8.33,$0.11,75.4
2010-06-30,6.64,$-0.01,0.0
2010-03-31,10.16,$0.62,16.51
2009-12-31,8.3,$-1.54,0.0
2009-09-30,9.06,$0.97,9.3
