NovoCure Price to Free Cash Flow Ratio Historical Data,NovoCure Price to Free Cash Flow Ratio Historical Data,NovoCure Price to Free Cash Flow Ratio Historical Data,NovoCure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.9,,0.0
2024-06-30,17.13,$-0.98,0.0
2024-03-31,15.63,$-1.13,0.0
2023-12-31,14.93,$-0.94,0.0
2023-09-30,16.15,$-0.84,0.0
2023-06-30,41.5,$-0.43,0.0
2023-03-31,60.14,$-0.04,0.0
2022-12-31,73.35,$0.09,814.1
2022-09-30,75.98,$0.19,400.95
2022-06-30,69.5,$0.23,298.8
2022-03-31,82.85,$0.35,238.28
2021-12-31,75.08,$0.57,132.56
2021-09-30,116.17,$1.00,116.04
2021-06-30,221.82,$1.06,209.78
2021-03-31,132.18,$0.92,143.94
2020-12-31,173.04,$0.77,223.8
2020-09-30,111.31,$0.39,286.96
2020-06-30,59.3,$0.24,244.64
2020-03-31,67.34,$0.23,299.02
2019-12-31,84.27,$0.17,507.96
2019-09-30,74.78,$0.27,272.72
2019-06-30,63.23,$0.21,297.97
2019-03-31,48.17,$0.05,1024.89
2018-12-31,33.48,$-0.09,0.0
2018-09-30,52.4,$-0.31,0.0
2018-06-30,31.3,$-0.35,0.0
2018-03-31,21.8,$-0.33,0.0
2017-12-31,20.2,$-0.46,0.0
2017-09-30,19.85,$-0.60,0.0
2017-06-30,17.3,$-1.06,0.0
2017-03-31,8.1,$-1.40,0.0
2016-12-31,7.85,$-1.46,0.0
2016-09-30,8.54,$-4.88,0.0
