Goldman Sachs BDC Price to Free Cash Flow Ratio Historical Data,Goldman Sachs BDC Price to Free Cash Flow Ratio Historical Data,Goldman Sachs BDC Price to Free Cash Flow Ratio Historical Data,Goldman Sachs BDC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.71,,11.04
2024-06-30,14.55,$1.24,11.72
2024-03-31,14.08,$2.53,5.56
2023-12-31,13.37,$2.78,4.82
2023-09-30,12.9,$3.33,3.87
2023-06-30,11.91,$1.34,8.86
2023-03-31,11.36,$0.19,59.54
2022-12-31,11.05,$0.27,41.2
2022-09-30,11.28,$-4.29,0.0
2022-06-30,12.72,$-3.13,0.0
2022-03-31,14.46,$-0.89,0.0
2021-12-31,13.81,$-0.29,0.0
2021-09-30,12.93,$7.81,1.65
2021-06-30,13.44,$7.62,1.77
2021-03-31,12.93,$6.64,1.95
2020-12-31,12.46,$3.07,4.06
2020-09-30,9.58,$-2.46,0.0
2020-06-30,10.04,$0.44,22.58
2020-03-31,7.42,$-2.78,0.0
2019-12-31,12.36,$-0.87,0.0
2019-09-30,11.43,$-1.87,0.0
2019-06-30,10.95,$-6.61,0.0
2019-03-31,11.17,$-2.68,0.0
2018-12-31,9.78,$-1.23,0.0
2018-09-30,11.53,$-1.65,0.0
2018-06-30,10.44,$-1.43,0.0
2018-03-31,9.54,$-1.00,0.0
2017-12-31,10.81,$-1.28,0.0
2017-09-30,10.9,$0.24,45.78
2017-06-30,10.55,$1.78,5.94
2017-03-31,11.32,$-0.27,0.0
2016-12-31,10.61,$-0.86,0.0
2016-09-30,9.63,$-2.42,0.0
2016-06-30,8.66,$-4.99,0.0
2016-03-31,8.31,$-3.59,0.0
2015-12-31,7.87,$-8.41,0.0
