Seaboard Price to Free Cash Flow Ratio Historical Data,Seaboard Price to Free Cash Flow Ratio Historical Data,Seaboard Price to Free Cash Flow Ratio Historical Data,Seaboard Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3056.0,,537.09
2024-06-30,3158.45,$5.69,555.1
2024-03-31,3219.41,$134.97,23.85
2023-12-31,3562.73,$212.88,16.74
2023-09-30,3742.88,$399.66,9.37
2023-06-30,3548.92,$326.44,10.87
2023-03-31,3755.29,$236.86,15.85
2022-12-31,3758.35,$198.97,18.89
2022-09-30,3385.53,$-85.27,0.0
2022-06-30,3860.91,$-167.96,0.0
2022-03-31,4179.52,$-112.83,0.0
2021-12-31,3908.36,$-283.38,0.0
2021-09-30,4069.93,$-33.59,0.0
2021-06-30,3838.28,$-116.28,0.0
2021-03-31,3658.74,$-42.56,0.0
2020-12-31,3003.27,$31.01,96.86
2020-09-30,2808.95,$-87.79,0.0
2020-06-30,2902.78,$-136.76,0.0
2020-03-31,2780.87,$-349.02,0.0
2019-12-31,4199.53,$-206.43,0.0
2019-09-30,4320.22,$-169.07,0.0
2019-06-30,4082.53,$-76.41,0.0
2018-12-31,3487.77,$64.90,53.74
2018-09-30,3655.83,$284.93,12.83
2018-06-30,3903.25,$66.61,58.6
2018-03-31,4199.4,$21.39,196.35
2017-12-31,4340.55,$165.76,26.19
2019-03-31,4226.29,$-94.43,0.0
2017-09-30,4432.47,$152.92,28.99
2017-06-30,3929.29,$270.71,14.51
2017-03-31,4099.24,$233.96,17.52
2016-12-31,3883.9,$296.33,13.11
2016-09-30,3380.73,$274.98,12.29
2016-03-31,2951.27,$280.10,10.54
2015-12-31,2844.86,$277.54,10.25
2015-09-30,3025.95,$309.52,9.78
2015-06-30,3536.99,$300.75,11.76
2015-03-31,4060.8,$218.89,18.55
2014-12-31,4125.62,$228.35,18.07
2014-09-30,2628.9,$241.53,10.88
2014-06-30,2968.23,$128.70,23.06
2014-03-31,2576.28,$-16.51,0.0
2013-12-31,2746.81,$-34.45,0.0
2013-09-30,2700.65,$-147.25,0.0
2013-06-30,2661.34,$-22.06,0.0
2012-12-31,2486.29,$98.72,25.19
2012-09-30,2210.18,$150.45,14.69
2012-06-30,2085.84,$150.16,13.89
2012-03-31,1907.88,$48.30,39.5
2011-12-31,1991.01,$113.58,17.53
2013-03-31,2751.75,$-88.04,0.0
2011-09-30,1762.17,$6.01,293.25
2011-06-30,2364.56,$21.29,111.04
2011-03-31,2359.67,$-16.17,0.0
2010-12-31,1947.0,$149.90,12.99
2010-09-30,1725.98,$146.88,11.75
2016-06-30,2821.18,$215.57,13.09
2010-06-30,1470.99,$192.25,7.65
2010-03-31,1264.94,$182.99,6.91
2009-12-31,1312.81,$170.04,7.72
