O-I Glass Price to Free Cash Flow Ratio Historical Data,O-I Glass Price to Free Cash Flow Ratio Historical Data,O-I Glass Price to Free Cash Flow Ratio Historical Data,O-I Glass Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.09,,0.0
2024-06-30,11.13,$-0.59,0.0
2024-03-31,16.59,$-0.40,0.0
2023-12-31,16.38,$0.84,19.49
2023-09-30,16.73,$0.99,16.92
2023-06-30,21.33,$-2.99,0.0
2023-03-31,22.71,$-3.17,0.0
2022-12-31,16.57,$-2.42,0.0
2022-09-30,12.95,$-2.95,0.0
2022-06-30,14.0,$1.50,9.3
2022-03-31,13.18,$1.68,7.83
2021-12-31,12.03,$1.80,6.67
2021-09-30,14.27,$2.83,5.04
2021-06-30,16.33,$2.78,5.87
2021-03-31,14.74,$2.73,5.39
2020-12-31,11.9,$0.92,12.94
2020-09-30,10.59,$4.12,2.57
2020-06-30,8.98,$4.80,1.87
2020-03-31,7.11,$2.95,2.41
2019-12-31,11.88,$1.13,10.48
2019-09-30,10.17,$-0.32,0.0
2019-06-30,17.02,$-0.99,0.0
2019-03-31,18.65,$-2.93,0.0
2018-12-31,16.9,$4.97,3.4
2018-09-30,18.41,$2.10,8.79
2018-03-31,21.23,$1.34,15.83
2017-12-31,21.73,$1.79,12.17
2017-09-30,24.66,$3.41,7.24
2017-06-30,23.44,$0.47,49.98
2017-03-31,19.97,$1.43,13.98
2016-12-31,17.06,$4.94,3.46
2018-06-30,16.47,$-2.61,0.0
2016-09-30,18.02,$2.28,7.9
2016-06-30,17.65,$1.89,9.34
2016-03-31,15.64,$-1.31,0.0
2015-12-31,17.07,$3.85,4.43
2015-09-30,20.31,$2.13,9.54
2015-03-31,22.85,$1.48,15.47
2014-12-31,26.45,$1.96,13.51
2014-09-30,25.53,$1.36,18.72
2014-06-30,33.95,$1.51,22.46
2014-03-31,33.15,$1.52,21.81
2013-12-31,35.07,$2.00,17.51
2013-09-30,29.42,$1.72,17.11
2013-06-30,27.24,$2.01,13.56
2013-03-31,26.12,$1.85,14.14
2012-12-31,20.85,$2.29,9.09
2012-09-30,18.39,$1.48,12.45
2012-06-30,18.79,$1.10,17.05
2012-03-31,22.87,$1.36,16.86
2011-12-31,18.99,$1.35,14.07
2011-09-30,14.82,$0.95,15.62
2011-06-30,25.29,$0.59,43.14
2011-03-31,29.59,$0.04,752.86
2010-12-31,30.09,$0.57,52.91
2010-09-30,27.5,$4.33,6.35
2010-06-30,25.92,$-0.35,0.0
2010-03-31,34.83,$1.50,23.21
2009-12-31,32.21,$2.72,11.86
2015-06-30,22.48,$-1.98,0.0
