Sapiens Price to Free Cash Flow Ratio Historical Data,Sapiens Price to Free Cash Flow Ratio Historical Data,Sapiens Price to Free Cash Flow Ratio Historical Data,Sapiens Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.38,,33.54
2024-06-30,33.66,$1.08,31.03
2024-03-31,31.62,$1.20,26.43
2023-12-31,28.45,$1.26,22.53
2023-09-30,27.95,$0.83,33.51
2023-06-30,25.93,$0.84,30.86
2023-03-31,20.92,$0.70,30.0
2022-12-31,17.8,$0.63,28.28
2022-09-30,18.48,$0.84,22.07
2022-06-30,23.07,$1.01,22.84
2022-03-31,23.74,$1.38,17.22
2021-12-31,32.21,$1.26,25.6
2021-09-30,26.91,$1.17,22.95
2021-06-30,24.56,$1.24,19.81
2021-03-31,29.39,$1.05,27.94
2020-12-31,28.3,$0.96,29.62
2020-09-30,28.27,$0.96,29.56
2020-06-30,25.87,$0.89,29.03
2020-03-31,17.48,$0.89,19.67
2019-12-31,21.14,$0.98,21.48
2019-09-30,18.05,$0.83,21.77
2019-06-30,15.1,$0.71,21.41
2019-03-31,13.88,$0.43,32.22
2018-12-31,10.02,$0.41,24.34
2018-09-30,11.8,$0.25,46.75
2018-06-30,8.73,$0.09,98.29
2018-03-31,7.62,$0.35,21.53
2017-12-31,10.29,$0.02,485.43
2017-09-30,11.59,$-0.02,0.0
2017-06-30,9.83,$0.09,107.41
2017-03-31,11.31,$0.09,125.28
2016-12-31,12.59,$0.32,39.61
2016-09-30,11.22,$0.51,21.83
2016-06-30,10.28,$0.61,16.92
2016-03-31,10.34,$0.49,20.89
2015-12-31,8.8,$0.64,13.74
2015-09-30,9.94,$0.52,19.0
2015-06-30,8.96,$0.45,19.81
2015-03-31,6.96,$0.39,17.66
2014-12-31,6.26,$0.29,21.74
2014-09-30,6.28,$0.32,19.43
2014-06-30,6.79,$0.22,30.65
2014-03-31,6.89,$0.23,30.49
2013-12-31,6.55,$0.18,35.78
2013-09-30,5.14,$0.15,35.31
2013-06-30,4.87,$0.45,10.74
2013-03-31,4.62,$0.38,12.24
2012-12-31,3.19,$0.34,9.49
2012-09-30,2.9,$0.34,8.64
2012-06-30,2.87,$0.08,37.62
2012-03-31,2.81,$0.08,36.79
2011-12-31,3.0,$0.08,39.3
2011-09-30,2.34,$0.50,4.68
2011-06-30,2.84,$0.50,5.67
2011-03-31,3.18,$0.50,6.35
2010-12-31,1.83,$0.50,3.66
2010-09-30,2.23,$0.44,5.06
2010-06-30,2.02,$0.44,4.58
2010-03-31,1.7,$0.44,3.85
2009-12-31,1.25,$0.44,2.84
