Sprout Social Price to Free Cash Flow Ratio Historical Data,Sprout Social Price to Free Cash Flow Ratio Historical Data,Sprout Social Price to Free Cash Flow Ratio Historical Data,Sprout Social Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.3,,860.18
2024-06-30,35.68,$0.03,1084.5
2024-03-31,59.71,$0.11,522.4
2023-12-31,61.44,$0.08,780.69
2023-09-30,49.88,$0.18,271.97
2023-06-30,46.16,$0.31,150.16
2023-03-31,60.88,$0.21,288.12
2022-12-31,56.46,$0.16,348.73
2022-09-30,60.68,$0.16,387.48
2022-06-30,58.07,$0.22,259.24
2022-03-31,80.12,$0.29,278.58
2021-12-31,90.69,$0.26,351.1
2021-09-30,121.95,$0.18,695.27
2021-06-30,89.42,$0.03,3465.89
2021-03-31,57.76,$-0.14,0.0
2020-12-31,45.41,$-0.30,0.0
2020-09-30,38.5,$-0.91,0.0
