Navient Price to Free Cash Flow Ratio Historical Data,Navient Price to Free Cash Flow Ratio Historical Data,Navient Price to Free Cash Flow Ratio Historical Data,Navient Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.82,,2.07
2024-06-30,14.41,$7.66,1.88
2024-03-31,17.04,$5.98,2.85
2023-12-31,18.05,$5.50,3.28
2023-09-30,16.54,$4.45,3.72
2023-06-30,17.69,$3.87,4.58
2023-03-31,15.07,$3.95,3.82
2022-12-31,15.36,$2.12,7.25
2022-09-30,13.59,$1.58,8.61
2022-06-30,12.81,$2.39,5.35
2022-03-31,15.44,$2.40,6.43
2021-12-31,19.05,$4.08,4.67
2021-09-30,17.57,$4.05,4.34
2021-06-30,17.1,$3.90,4.38
2021-03-31,12.55,$3.76,3.33
2020-12-31,8.5,$5.06,1.68
2020-09-30,7.2,$4.93,1.46
2020-06-30,5.88,$5.23,1.12
2020-03-31,6.22,$5.88,1.06
2019-12-31,11.06,$4.37,2.53
2019-09-30,10.23,$5.48,1.87
2019-06-30,10.78,$4.72,2.28
2019-03-31,9.03,$4.02,2.24
2018-12-31,6.78,$4.32,1.57
2018-09-30,10.23,$3.27,3.13
2018-06-30,9.77,$3.70,2.64
2018-03-31,9.73,$3.97,2.45
2017-12-31,9.75,$4.12,2.37
2017-09-30,10.86,$3.99,2.72
2017-06-30,11.9,$4.04,2.94
2017-03-31,10.43,$4.39,2.37
2016-12-31,11.49,$4.18,2.75
2016-09-30,10.03,$4.63,2.16
2016-06-30,8.19,$4.62,1.77
2016-03-31,8.11,$4.77,1.7
2015-12-31,7.64,$5.00,1.53
2015-09-30,7.4,$3.99,1.86
2015-06-30,11.84,$4.05,2.92
2015-03-31,13.11,$5.15,2.55
