LivaNova Price to Free Cash Flow Ratio Historical Data,LivaNova Price to Free Cash Flow Ratio Historical Data,LivaNova Price to Free Cash Flow Ratio Historical Data,LivaNova Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,53.22,,33.92
2024-06-30,54.82,$1.57,34.94
2024-03-31,55.94,$-0.01,0.0
2023-12-31,51.74,$0.10,494.65
2023-09-30,52.88,$-0.10,0.0
2023-06-30,51.43,$-0.58,0.0
2022-12-31,55.54,$0.81,68.42
2022-09-30,50.77,$1.91,26.56
2022-06-30,62.47,$1.60,39.03
2022-03-31,81.83,$2.27,36.03
2021-12-31,87.43,$2.28,38.35
2023-03-31,43.58,$1.23,35.3
2021-09-30,79.19,$1.61,49.06
2021-06-30,84.11,$1.21,69.51
2021-03-31,73.73,$0.21,346.48
2020-12-31,66.21,$-2.36,0.0
2020-09-30,45.21,$-3.10,0.0
2020-06-30,48.13,$-4.75,0.0
2020-03-31,45.25,$-4.65,0.0
2019-12-31,75.43,$-2.40,0.0
2019-09-30,73.79,$3.66,20.15
2019-06-30,71.96,$0.43,167.93
2019-03-31,97.25,$1.64,59.42
2018-12-31,91.47,$2.01,45.49
2018-09-30,123.97,$-3.73,0.0
2018-06-30,99.82,$1.87,53.27
2018-03-31,88.5,$1.09,81.0
2017-12-31,79.92,$1.33,60.24
2017-09-30,70.06,$1.79,39.08
2017-06-30,61.21,$1.61,37.92
2017-03-31,49.01,$1.58,30.97
2016-12-31,44.97,$1.08,41.64
2016-09-30,60.11,$-1.36,0.0
2016-06-30,50.23,$-0.08,0.0
